Loja,Estado,Região,Valor vendido,Meta de Vendas
Loja 1,Maranhão,Nordeste,6607.61,7000
Loja 2,Amazonas,Norte,7160.88,7500
Loja 3,São Paulo,Sudeste,8493.55,8500
Loja 4,Minas Gerais,Sudeste,7625.73,7000
Loja 5,Pernambuco,Nordeste,7452.68,8000
Loja 6,Bahia,Nordeste,6971.79,8200
Loja 7,Paraíba,Nordeste,7768.92,7200
Loja 8,Roraima,Norte,9239.36,7800
Loja 9,Santa Catarina,Sul,6600.57,7200
Loja 10,Sergipe,Nordeste,6689.04,7800
Loja 11,Sergipe,Nordeste,6611.5,7200
Loja 12,Pernambuco,Nordeste,7934.49,8000
Loja 13,Amapá,Norte,8812.73,8000
Loja 14,Rio Grande do Sul,Sul,7667.69,7200
Loja 15,Espírito Santo,Sudeste,7425.56,7200
Loja 16,Ceará,Nordeste,9353.63,7000
Loja 17,Pará,Norte,8251.59,8200
Loja 18,Mato Grosso,Centro-Oeste,9896.25,8000
Loja 19,Paraná,Sul,9294.4,7500
Loja 20,Minas Gerais,Sudeste,6362.86,8200
Loja 21,Paraíba,Nordeste,7727.87,8500
Loja 22,Mato Grosso do Sul,Centro-Oeste,8460.54,8000
Loja 23,Rondônia,Norte,8229.97,7800
Loja 24,Santa Catarina,Sul,9994.77,8500
Loja 25,Ceará,Nordeste,6430.88,7000
Loja 26,Mato Grosso,Centro-Oeste,9979.47,7800
Loja 27,Piauí,Nordeste,7780.29,8000
Loja 28,Espírito Santo,Sudeste,6723.18,8200
Loja 29,Maranhão,Nordeste,8385.51,7500
Loja 30,Amapá,Norte,6509.8,7500
Loja 31,Roraima,Norte,9667.57,8200
Loja 32,Alagoas,Nordeste,7906.66,7000
Loja 33,Amazonas,Norte,8399.45,7000
Loja 34,Maranhão,Nordeste,6407.4,7000
Loja 35,Pernambuco,Nordeste,8979.82,8000
Loja 36,Ceará,Nordeste,6434.73,8500
Loja 37,Piauí,Nordeste,8423.84,7500
Loja 38,Rio Grande do Sul,Sul,9372.59,8000
Loja 39,Piauí,Nordeste,6903.84,8000
Loja 40,Roraima,Norte,9008.0,8200
Loja 41,Rio Grande do Sul,Sul,7413.38,8200
Loja 42,Paraíba,Nordeste,9732.58,7000
Loja 43,Piauí,Nordeste,7391.48,7200
Loja 44,São Paulo,Sudeste,9383.17,7200
Loja 45,Amapá,Norte,6547.54,7000
Loja 46,Santa Catarina,Sul,9021.84,7500
Loja 47,Sergipe,Nordeste,7676.24,7800
Loja 48,Tocantins,Norte,7282.02,8000
Loja 49,Ceará,Nordeste,9160.81,8000
Loja 50,Santa Catarina,Sul,8091.85,8000
Loja 51,Rondônia,Norte,9146.14,8000
Loja 52,Pernambuco,Nordeste,8509.42,8000
Loja 53,Alagoas,Nordeste,7703.97,8200
Loja 54,Maranhão,Nordeste,7928.82,7800
Loja 55,Paraná,Sul,9229.51,8500
Loja 56,Espírito Santo,Sudeste,6822.38,7800
Loja 57,Maranhão,Nordeste,6743.26,7800
Loja 58,Bahia,Nordeste,9703.58,7500
Loja 59,Pará,Norte,9707.53,8200
Loja 60,Roraima,Norte,7209.62,7000
Loja 61,Paraíba,Nordeste,8595.1,8200
Loja 62,Amapá,Norte,6747.91,7800
Loja 63,Mato Grosso,Centro-Oeste,6092.67,7800
Loja 64,Bahia,Nordeste,8537.36,8000
Loja 65,Rio de Janeiro,Sudeste,9591.81,8500
Loja 66,Mato Grosso,Centro-Oeste,6453.57,7000
Loja 67,Paraná,Sul,8246.01,7200
Loja 68,Pernambuco,Nordeste,9572.14,8500
Loja 69,Mato Grosso,Centro-Oeste,7677.79,7500
Loja 70,Bahia,Nordeste,6338.38,7000
Loja 71,Rio Grande do Norte,Nordeste,7583.07,7800
Loja 72,Maranhão,Nordeste,6584.52,7500
Loja 73,Roraima,Norte,8386.45,8500
Loja 74,Alagoas,Nordeste,8988.01,7200
Loja 75,Minas Gerais,Sudeste,9568.29,8200
Loja 76,Santa Catarina,Sul,9372.18,7800
Loja 77,Amapá,Norte,7671.5,7200
Loja 78,Goiás,Centro-Oeste,8280.1,7000
Loja 79,Ceará,Nordeste,6683.52,8000
Loja 80,Roraima,Norte,9657.93,7000
Loja 81,Goiás,Centro-Oeste,6424.17,7000
Loja 82,Rio de Janeiro,Sudeste,8136.57,7200
Loja 83,Paraíba,Nordeste,6248.7,8200
Loja 84,Paraíba,Nordeste,6146.77,7000
Loja 85,Santa Catarina,Sul,8576.64,7000
Loja 86,Alagoas,Nordeste,7788.47,8200
Loja 87,Mato Grosso do Sul,Centro-Oeste,6094.33,8500
Loja 88,Mato Grosso,Centro-Oeste,8349.59,8000
Loja 89,Minas Gerais,Sudeste,7811.04,8000
Loja 90,Mato Grosso,Centro-Oeste,8328.96,8000
Loja 91,Amapá,Norte,7113.36,7800
