Loja,Estado,Região,Valor vendido,Meta de Vendas
Loja 1,Maranhão,Nordeste,9420.07,7000
Loja 2,Amazonas,Norte,8430.31,7500
Loja 3,São Paulo,Sudeste,8702.16,8500
Loja 4,Minas Gerais,Sudeste,9095.71,7000
Loja 5,Pernambuco,Nordeste,6384.1,8000
Loja 6,Bahia,Nordeste,8950.13,8200
Loja 7,Paraíba,Nordeste,6614.73,7200
Loja 8,Roraima,Norte,9395.11,7800
Loja 9,Santa Catarina,Sul,9761.62,7200
Loja 10,Sergipe,Nordeste,8398.69,7800
Loja 11,Sergipe,Nordeste,7700.48,7200
Loja 12,Pernambuco,Nordeste,6952.61,8000
Loja 13,Amapá,Norte,7593.31,8000
Loja 14,Rio Grande do Sul,Sul,7201.18,7200
Loja 15,Espírito Santo,Sudeste,6082.0,7200
Loja 16,Ceará,Nordeste,6691.0,7000
Loja 17,Pará,Norte,8392.0,8200
Loja 18,Mato Grosso,Centro-Oeste,8535.82,8000
Loja 19,Paraná,Sul,9879.98,7500
Loja 20,Minas Gerais,Sudeste,7656.91,8200
Loja 21,Paraíba,Nordeste,9833.32,8500
Loja 22,Mato Grosso do Sul,Centro-Oeste,9539.77,8000
Loja 23,Rondônia,Norte,7627.7,7800
Loja 24,Santa Catarina,Sul,9464.37,8500
Loja 25,Ceará,Nordeste,7354.3,7000
Loja 26,Mato Grosso,Centro-Oeste,6682.44,7800
Loja 27,Piauí,Nordeste,8889.34,8000
Loja 28,Espírito Santo,Sudeste,6896.29,8200
Loja 29,Maranhão,Nordeste,9096.47,7500
Loja 30,Amapá,Norte,6605.87,7500
Loja 31,Roraima,Norte,8710.34,8200
Loja 32,Alagoas,Nordeste,6842.41,7000
Loja 33,Amazonas,Norte,9124.55,7000
Loja 34,Maranhão,Nordeste,9012.69,7000
Loja 35,Pernambuco,Nordeste,7345.8,8000
Loja 36,Ceará,Nordeste,6776.62,8500
Loja 37,Piauí,Nordeste,8225.41,7500
Loja 38,Rio Grande do Sul,Sul,9282.06,8000
Loja 39,Piauí,Nordeste,6412.64,8000
Loja 40,Roraima,Norte,6645.64,8200
Loja 41,Rio Grande do Sul,Sul,9929.37,8200
Loja 42,Paraíba,Nordeste,7131.26,7000
Loja 43,Piauí,Nordeste,9930.54,7200
Loja 44,São Paulo,Sudeste,6610.03,7200
Loja 45,Amapá,Norte,9705.44,7000
Loja 46,Santa Catarina,Sul,8215.68,7500
Loja 47,Sergipe,Nordeste,8287.89,7800
Loja 48,Tocantins,Norte,6099.94,8000
Loja 49,Ceará,Nordeste,8611.87,8000
Loja 50,Santa Catarina,Sul,7168.37,8000
Loja 51,Rondônia,Norte,7337.21,8000
Loja 52,Pernambuco,Nordeste,7720.17,8000
Loja 53,Alagoas,Nordeste,9191.23,8200
Loja 54,Maranhão,Nordeste,7043.13,7800
Loja 55,Paraná,Sul,9846.19,8500
Loja 56,Espírito Santo,Sudeste,7331.2,7800
Loja 57,Maranhão,Nordeste,7159.91,7800
Loja 58,Bahia,Nordeste,9216.76,7500
Loja 59,Pará,Norte,9286.14,8200
Loja 60,Roraima,Norte,7021.62,7000
Loja 61,Paraíba,Nordeste,6956.81,8200
Loja 62,Amapá,Norte,9662.77,7800
Loja 63,Mato Grosso,Centro-Oeste,7060.09,7800
Loja 64,Bahia,Nordeste,7558.67,8000
Loja 65,Rio de Janeiro,Sudeste,9255.81,8500
Loja 66,Mato Grosso,Centro-Oeste,9712.7,7000
Loja 67,Paraná,Sul,9422.93,7200
Loja 68,Pernambuco,Nordeste,9304.06,8500
Loja 69,Mato Grosso,Centro-Oeste,8336.44,7500
Loja 70,Bahia,Nordeste,7123.45,7000
Loja 71,Rio Grande do Norte,Nordeste,7638.82,7800
Loja 72,Maranhão,Nordeste,7378.65,7500
Loja 73,Roraima,Norte,7597.88,8500
Loja 74,Alagoas,Nordeste,8659.01,7200
Loja 75,Minas Gerais,Sudeste,8924.38,8200
Loja 76,Santa Catarina,Sul,8102.78,7800
Loja 77,Amapá,Norte,9306.88,7200
Loja 78,Goiás,Centro-Oeste,6582.59,7000
Loja 79,Ceará,Nordeste,7979.72,8000
Loja 80,Roraima,Norte,7849.07,7000
Loja 81,Goiás,Centro-Oeste,6389.21,7000
Loja 82,Rio de Janeiro,Sudeste,7507.15,7200
Loja 83,Paraíba,Nordeste,6395.65,8200
Loja 84,Paraíba,Nordeste,6906.0,7000
Loja 85,Santa Catarina,Sul,7279.81,7000
Loja 86,Alagoas,Nordeste,7309.38,8200
Loja 87,Mato Grosso do Sul,Centro-Oeste,6886.09,8500
Loja 88,Mato Grosso,Centro-Oeste,8239.08,8000
Loja 89,Minas Gerais,Sudeste,7219.17,8000
Loja 90,Mato Grosso,Centro-Oeste,6428.84,8000
Loja 91,Amapá,Norte,7100.89,7800
Loja 92,Ceará,Nordeste,7000.94,8500
Loja 93,Rio Grande do Norte,Nordeste,8053.75,7800
Loja 94,Pará,Norte,6869.25,7800
Loja 95,Amazonas,Norte,6833.36,8000
Loja 96,Mato Grosso,Centro-Oeste,7584.34,7800
Loja 97,Pará,Norte,8699.12,7800
Loja 98,Amapá,Norte,6746.54,7800
Loja 99,Maranhão,Nordeste,8839.21,7800
Loja 100,Pernambuco,Nordeste,8215.83,8500
Loja 101,Bahia,Nordeste,7336.64,7000
Loja 102,Amapá,Norte,8694.85,8000
Loja 103,Acre,Norte,8986.24,7800
Loja 104,Acre,Norte,8278.89,7500
Loja 105,Ceará,Nordeste,7203.36,7200
Loja 106,Paraíba,Nordeste,6881.28,8000
Loja 107,Bahia,Nordeste,7217.26,8000
Loja 108,Goiás,Centro-Oeste,9780.41,7800
Loja 109,Paraíba,Nordeste,7457.48,7000
Loja 110,Pernambuco,Nordeste,8601.23,7500
Loja 111,Rondônia,Norte,6137.23,7000
Loja 112,Paraíba,Nordeste,6838.42,7200
Loja 113,Maranhão,Nordeste,6812.98,7200
Loja 114,Espírito Santo,Sudeste,7944.14,8000
Loja 115,Minas Gerais,Sudeste,9559.05,8000
Loja 116,Sergipe,Nordeste,9838.58,8000
Loja 117,Santa Catarina,Sul,6830.61,7200
Loja 118,Espírito Santo,Sudeste,7814.3,7000
Loja 119,Rio de Janeiro,Sudeste,9660.3,8500
Loja 120,Bahia,Nordeste,8677.5,7000
Loja 121,Rondônia,Norte,9909.46,8000
Loja 122,Espírito Santo,Sudeste,6829.06,7000
Loja 123,Ceará,Nordeste,6569.02,7800
Loja 124,São Paulo,Sudeste,6607.24,8200
Loja 125,Espírito Santo,Sudeste,6148.06,7500
Loja 126,Paraná,Sul,8595.2,7500
Loja 127,Maranhão,Nordeste,6060.83,7500
Loja 128,Amazonas,Norte,9529.69,8200
Loja 129,Rio de Janeiro,Sudeste,9416.01,8500
Loja 130,Rio de Janeiro,Sudeste,6948.92,7500
Loja 131,Paraíba,Nordeste,7339.94,7000
Loja 132,Amapá,Norte,6191.6,7500
Loja 133,Alagoas,Nordeste,8666.98,7500
Loja 134,Rio Grande do Norte,Nordeste,7711.29,8500
Loja 135,Amapá,Norte,8354.25,7500
Loja 136,Rondônia,Norte,8957.61,7000
Loja 137,Bahia,Nordeste,8085.49,7800
Loja 138,Bahia,Nordeste,7483.83,8500
Loja 139,Ceará,Nordeste,8655.82,7800
Loja 140,Minas Gerais,Sudeste,7514.68,7000
Loja 141,Amapá,Norte,7116.57,8000
Loja 142,Minas Gerais,Sudeste,8062.39,8500
Loja 143,Espírito Santo,Sudeste,7500.44,7000
Loja 144,Rio Grande do Norte,Nordeste,6809.57,7200
Loja 145,Maranhão,Nordeste,8210.08,8500
Loja 146,Minas Gerais,Sudeste,8674.55,7500
Loja 147,Rio Grande do Norte,Nordeste,9566.62,8500
Loja 148,Roraima,Norte,8619.31,8000
Loja 149,Ceará,Nordeste,6743.24,7000
Loja 150,Ceará,Nordeste,8514.72,7000
Loja 151,Mato Grosso,Centro-Oeste,7746.29,7500
Loja 152,Amazonas,Norte,9296.19,7800
Loja 153,Goiás,Centro-Oeste,9302.31,7000
Loja 154,Mato Grosso,Centro-Oeste,7718.36,7500
Loja 155,São Paulo,Sudeste,8981.19,8500
Loja 156,Espírito Santo,Sudeste,8601.31,8200
Loja 157,Amazonas,Norte,7662.07,7500
Loja 158,Rio Grande do Norte,Nordeste,7965.51,7200
Loja 159,Rondônia,Norte,6217.67,7800
Loja 160,Minas Gerais,Sudeste,7225.99,7000
Loja 161,Espírito Santo,Sudeste,8752.37,8000
Loja 162,Minas Gerais,Sudeste,6351.54,8200
Loja 163,Roraima,Norte,6417.73,8500
Loja 164,Maranhão,Nordeste,7490.49,7500
Loja 165,Pará,Norte,7762.77,7200
Loja 166,Rio de Janeiro,Sudeste,9404.36,7800
Loja 167,Roraima,Norte,6059.38,8500
Loja 168,Pará,Norte,9862.95,7800
Loja 169,Goiás,Centro-Oeste,8544.07,7500
Loja 170,Rio Grande do Sul,Sul,8252.66,8500
Loja 171,Mato Grosso,Centro-Oeste,7151.3,7000
Loja 172,Santa Catarina,Sul,9336.04,7500
Loja 173,Minas Gerais,Sudeste,9788.2,8000
Loja 174,Espírito Santo,Sudeste,7573.2,8200
Loja 175,Amapá,Norte,7946.77,7200
Loja 176,Amazonas,Norte,9785.62,7000
Loja 177,Paraíba,Nordeste,6143.13,7800
Loja 178,Alagoas,Nordeste,9786.45,7800
Loja 179,Pernambuco,Nordeste,6541.22,8000
Loja 180,Pará,Norte,7718.62,7500
Loja 181,Ceará,Nordeste,9982.38,8500
Loja 182,Mato Grosso do Sul,Centro-Oeste,8248.35,8500
Loja 183,Alagoas,Nordeste,9627.08,7500
Loja 184,Amapá,Norte,9434.85,7800
Loja 185,Piauí,Nordeste,8683.44,8500
Loja 186,Rio de Janeiro,Sudeste,7241.96,8500
Loja 187,Tocantins,Norte,8788.07,8200
Loja 188,São Paulo,Sudeste,6637.28,7800
Loja 189,Mato Grosso do Sul,Centro-Oeste,6144.72,7200
Loja 190,Rio de Janeiro,Sudeste,8746.28,7800
Loja 191,Maranhão,Nordeste,9247.94,8500
Loja 192,Pernambuco,Nordeste,7008.3,8000
Loja 193,Santa Catarina,Sul,9449.24,7500
Loja 194,Rio Grande do Norte,Nordeste,8479.57,7000
Loja 195,Rio Grande do Norte,Nordeste,9603.39,8000
Loja 196,Maranhão,Nordeste,7480.28,7000
Loja 197,Rio Grande do Sul,Sul,8905.85,8200
Loja 198,Pernambuco,Nordeste,7419.32,8200
Loja 199,Tocantins,Norte,9165.02,8500
Loja 200,Pernambuco,Nordeste,7198.49,8200
Loja 201,Santa Catarina,Sul,9614.51,8000
Loja 202,Maranhão,Nordeste,7251.19,7200
Loja 203,Alagoas,Nordeste,8678.37,7200
Loja 204,Amapá,Norte,6540.68,7500
Loja 205,Bahia,Nordeste,7719.89,7800
Loja 206,Roraima,Norte,6126.91,8200
Loja 207,Piauí,Nordeste,7728.74,8000
Loja 208,Ceará,Nordeste,8232.34,8200
Loja 209,Santa Catarina,Sul,6803.47,7000
Loja 210,Rondônia,Norte,7384.24,7500
Loja 211,Pará,Norte,9946.32,7000
Loja 212,Tocantins,Norte,7456.58,7800
Loja 213,Rio Grande do Norte,Nordeste,9862.22,7500
Loja 214,Bahia,Nordeste,9459.23,8000
Loja 215,Minas Gerais,Sudeste,7268.35,8500
Loja 216,Maranhão,Nordeste,8196.04,7200
Loja 217,Sergipe,Nordeste,9159.84,8200
Loja 218,Santa Catarina,Sul,7641.29,7800
Loja 219,Ceará,Nordeste,7242.65,7200
Loja 220,Amapá,Norte,6731.78,8000
Loja 221,Bahia,Nordeste,7716.12,8500
Loja 222,Espírito Santo,Sudeste,8725.78,7800
Loja 223,Goiás,Centro-Oeste,7492.39,7000
Loja 224,Paraíba,Nordeste,8070.13,7200
Loja 225,Rondônia,Norte,9137.81,8500
Loja 226,Rio Grande do Norte,Nordeste,6922.78,8200
Loja 227,Bahia,Nordeste,6250.26,8200
Loja 228,Mato Grosso,Centro-Oeste,6987.71,7500
Loja 229,Bahia,Nordeste,7100.11,8000
Loja 230,Pará,Norte,6704.85,7200
Loja 231,São Paulo,Sudeste,7679.66,7500
Loja 232,Piauí,Nordeste,7783.95,7500
Loja 233,Amapá,Norte,9823.17,7000
Loja 234,Amazonas,Norte,7097.72,7200
Loja 235,Paraíba,Nordeste,9874.35,7800
Loja 236,Maranhão,Nordeste,6301.63,8500
Loja 237,Rondônia,Norte,8918.71,8200
Loja 238,Alagoas,Nordeste,6144.76,8500
Loja 239,Paraná,Sul,6399.15,7000
Loja 240,Espírito Santo,Sudeste,6014.92,8200
Loja 241,Goiás,Centro-Oeste,7608.25,7000
Loja 242,São Paulo,Sudeste,7075.69,8000
Loja 243,Acre,Norte,9838.83,8500
Loja 244,Ceará,Nordeste,9371.68,7800
Loja 245,Goiás,Centro-Oeste,7209.08,8500
Loja 246,Amapá,Norte,6832.89,8500
Loja 247,Rio Grande do Norte,Nordeste,9008.47,8200
Loja 248,Rondônia,Norte,6827.68,8500
Loja 249,Mato Grosso,Centro-Oeste,7651.02,7800
Loja 250,Alagoas,Nordeste,6397.21,8500
Loja 251,Sergipe,Nordeste,6595.36,7800
Loja 252,Rio Grande do Norte,Nordeste,6015.82,7500
Loja 253,Bahia,Nordeste,7237.83,7800
Loja 254,Alagoas,Nordeste,6344.66,7800
Loja 255,Paraíba,Nordeste,9240.46,8200
Loja 256,Rio Grande do Sul,Sul,9395.87,8200
Loja 257,Espírito Santo,Sudeste,6386.27,7800
Loja 258,Minas Gerais,Sudeste,9955.36,8200
Loja 259,Pernambuco,Nordeste,8700.74,7500
Loja 260,Paraná,Sul,6376.91,8200
Loja 261,Goiás,Centro-Oeste,7072.13,7500
Loja 262,São Paulo,Sudeste,7303.36,7200
Loja 263,Amazonas,Norte,7461.23,7500
Loja 264,São Paulo,Sudeste,6876.15,7500
Loja 265,Espírito Santo,Sudeste,6045.97,8200
Loja 266,Rio de Janeiro,Sudeste,6242.17,8500
Loja 267,Amazonas,Norte,8662.81,7000
Loja 268,Rio Grande do Norte,Nordeste,6352.04,8500
Loja 269,Piauí,Nordeste,9596.68,8500
Loja 270,Rio Grande do Sul,Sul,9318.37,8500
Loja 271,Paraná,Sul,8727.29,7500
Loja 272,Minas Gerais,Sudeste,8896.16,8500
Loja 273,Ceará,Nordeste,8325.77,8500
Loja 274,Goiás,Centro-Oeste,7674.01,7200
Loja 275,Mato Grosso,Centro-Oeste,8239.97,8500
Loja 276,Alagoas,Nordeste,6984.96,8200
Loja 277,Rio Grande do Sul,Sul,6158.38,7200
Loja 278,Acre,Norte,6210.77,8200
Loja 279,Maranhão,Nordeste,7197.9,8200
Loja 280,Paraíba,Nordeste,7358.96,7200
Loja 281,Acre,Norte,7334.23,7000
Loja 282,Maranhão,Nordeste,6198.06,7000
Loja 283,Paraná,Sul,9512.79,7800
Loja 284,Amapá,Norte,9761.98,7000
Loja 285,Ceará,Nordeste,6187.46,7800
