Loja,Estado,Região,Valor vendido,Meta de Vendas
Loja 1,Maranhão,Nordeste,7344.23,7000
Loja 2,Amazonas,Norte,9641.4,7500
Loja 3,São Paulo,Sudeste,9121.6,8500
Loja 4,Minas Gerais,Sudeste,8608.82,7000
Loja 5,Pernambuco,Nordeste,8136.85,8000
Loja 6,Bahia,Nordeste,7227.55,8200
Loja 7,Paraíba,Nordeste,8892.28,7200
Loja 8,Roraima,Norte,9835.68,7800
Loja 9,Santa Catarina,Sul,6726.04,7200
Loja 10,Sergipe,Nordeste,6352.65,7800
Loja 11,Sergipe,Nordeste,7222.11,7200
Loja 12,Pernambuco,Nordeste,6383.43,8000
Loja 13,Amapá,Norte,8159.52,8000
Loja 14,Rio Grande do Sul,Sul,9319.97,7200
Loja 15,Espírito Santo,Sudeste,9677.83,7200
Loja 16,Ceará,Nordeste,7806.46,7000
Loja 17,Pará,Norte,9222.74,8200
Loja 18,Mato Grosso,Centro-Oeste,8115.55,8000
Loja 19,Paraná,Sul,6529.04,7500
Loja 20,Minas Gerais,Sudeste,6188.78,8200
Loja 21,Paraíba,Nordeste,6334.76,8500
Loja 22,Mato Grosso do Sul,Centro-Oeste,7059.47,8000
Loja 23,Rondônia,Norte,6269.32,7800
Loja 24,Santa Catarina,Sul,7673.9,8500
Loja 25,Ceará,Nordeste,8683.38,7000
Loja 26,Mato Grosso,Centro-Oeste,8676.06,7800
Loja 27,Piauí,Nordeste,8510.94,8000
Loja 28,Espírito Santo,Sudeste,8116.8,8200
Loja 29,Maranhão,Nordeste,8171.18,7500
Loja 30,Amapá,Norte,7151.68,7500
Loja 31,Roraima,Norte,9661.74,8200
Loja 32,Alagoas,Nordeste,7712.16,7000
Loja 33,Amazonas,Norte,9303.38,7000
Loja 34,Maranhão,Nordeste,7632.45,7000
Loja 35,Pernambuco,Nordeste,7245.22,8000
Loja 36,Ceará,Nordeste,8925.77,8500
Loja 37,Piauí,Nordeste,6192.44,7500
Loja 38,Rio Grande do Sul,Sul,7225.94,8000
