Loja,Estado,Região,Valor vendido,Meta de Vendas
Loja 1,Amapá,Norte,6048.8,7000
Loja 2,Amapá,Norte,8070.82,8000
Loja 3,Acre,Norte,7356.55,7000
Loja 4,Bahia,Nordeste,7091.37,8200
Loja 5,Alagoas,Nordeste,9029.99,8200
Loja 6,Roraima,Norte,7049.3,7200
Loja 7,Santa Catarina,Sul,7000.75,8500
Loja 8,Bahia,Nordeste,6982.65,7500
Loja 9,Tocantins,Norte,8153.76,8000
Loja 10,Rondônia,Norte,9788.8,7200
Loja 11,Espírito Santo,Sudeste,7210.69,7200
Loja 12,Amapá,Norte,9929.58,7500
Loja 13,Paraná,Sul,6387.0,7800
Loja 14,Bahia,Nordeste,8966.41,7000
Loja 15,Mato Grosso,Centro-Oeste,6748.23,8500
Loja 16,Pernambuco,Nordeste,7339.6,7500
Loja 17,Rio Grande do Sul,Sul,7609.95,8500
Loja 18,Santa Catarina,Sul,8444.16,8000
Loja 19,Amapá,Norte,7691.77,8500
Loja 20,Pará,Norte,9729.56,7000
Loja 21,Maranhão,Nordeste,9984.45,8200
Loja 22,Paraíba,Nordeste,7650.61,7800
Loja 23,Tocantins,Norte,8408.96,7500
Loja 24,Mato Grosso,Centro-Oeste,6346.05,7200
Loja 25,Santa Catarina,Sul,7261.8,8200
Loja 26,Tocantins,Norte,9908.0,8200
Loja 27,Pará,Norte,9245.0,8000
Loja 28,Mato Grosso do Sul,Centro-Oeste,9798.95,8200
Loja 29,Espírito Santo,Sudeste,8766.17,8200
Loja 30,Rio de Janeiro,Sudeste,6552.14,7000
Loja 31,Minas Gerais,Sudeste,9288.04,7200
Loja 32,Goiás,Centro-Oeste,8402.15,7500
Loja 33,Mato Grosso do Sul,Centro-Oeste,6198.91,7500
Loja 34,Piauí,Nordeste,7726.26,7200
Loja 35,Minas Gerais,Sudeste,7348.58,7500
Loja 36,Pernambuco,Nordeste,7937.67,7000
Loja 37,Santa Catarina,Sul,9568.4,7500
Loja 38,Pará,Norte,9146.52,8200
Loja 39,Piauí,Nordeste,6967.75,7200
Loja 40,Rondônia,Norte,7254.23,7500
Loja 41,Rio Grande do Sul,Sul,6845.06,7800
Loja 42,Amapá,Norte,8109.78,7000
Loja 43,Alagoas,Nordeste,7485.75,7200
Loja 44,Espírito Santo,Sudeste,9798.65,7800
Loja 45,Pará,Norte,7855.2,7500
Loja 46,Espírito Santo,Sudeste,8817.06,7500
Loja 47,Rio Grande do Sul,Sul,7019.93,7800
Loja 48,Acre,Norte,6457.31,8500
Loja 49,Rondônia,Norte,9764.99,7000
Loja 50,Roraima,Norte,7910.36,8500
Loja 51,Mato Grosso do Sul,Centro-Oeste,9360.71,8500
Loja 52,Acre,Norte,8451.26,8200
Loja 53,Maranhão,Nordeste,7895.36,8000
Loja 54,São Paulo,Sudeste,7491.62,7500
Loja 55,Ceará,Nordeste,9222.85,7200
Loja 56,Rio Grande do Norte,Nordeste,8909.73,8500
Loja 57,Mato Grosso,Centro-Oeste,9546.62,8500
Loja 58,Mato Grosso do Sul,Centro-Oeste,8400.31,7800
Loja 59,Paraíba,Nordeste,9939.39,8200
Loja 60,Santa Catarina,Sul,7268.42,8500
Loja 61,Mato Grosso do Sul,Centro-Oeste,7986.49,8200
Loja 62,Goiás,Centro-Oeste,7860.6,7800
Loja 63,Rondônia,Norte,7111.2,8500
Loja 64,Piauí,Nordeste,9796.94,8200
Loja 65,Amazonas,Norte,9526.84,7000
Loja 66,Espírito Santo,Sudeste,6849.25,8000
Loja 67,Santa Catarina,Sul,7012.92,7000
Loja 68,Piauí,Nordeste,8225.87,8500
Loja 69,Minas Gerais,Sudeste,7833.82,7800
Loja 70,Rondônia,Norte,8003.7,8000
Loja 71,Rio Grande do Sul,Sul,7290.3,8000
Loja 72,Espírito Santo,Sudeste,8091.49,8500
Loja 73,Bahia,Nordeste,9044.74,8200
Loja 74,Paraná,Sul,9475.79,7000
Loja 75,Pará,Norte,8865.16,8500
Loja 76,Ceará,Nordeste,7583.88,8500
Loja 77,Goiás,Centro-Oeste,7574.43,7200
Loja 78,Espírito Santo,Sudeste,8904.26,7500
Loja 79,Pará,Norte,7675.48,8200
Loja 80,Goiás,Centro-Oeste,7847.45,8000
Loja 81,Mato Grosso do Sul,Centro-Oeste,9832.69,8500
Loja 82,Mato Grosso,Centro-Oeste,7356.56,7500
Loja 83,Goiás,Centro-Oeste,8859.33,7800
Loja 84,Rio Grande do Sul,Sul,9858.08,7800
Loja 85,Amazonas,Norte,9473.82,7800
Loja 86,Mato Grosso,Centro-Oeste,9262.48,8000
Loja 87,Rio Grande do Sul,Sul,7144.33,8500
Loja 88,Mato Grosso,Centro-Oeste,8138.25,7200
Loja 89,Maranhão,Nordeste,6548.31,8000
Loja 90,Rio Grande do Norte,Nordeste,8230.36,7000
Loja 91,Santa Catarina,Sul,8484.06,7800
Loja 92,Rondônia,Norte,7144.4,7500
Loja 93,Mato Grosso,Centro-Oeste,9536.69,8200
Loja 94,Bahia,Nordeste,7220.37,8500
Loja 95,Rio de Janeiro,Sudeste,8602.84,8500
Loja 96,Sergipe,Nordeste,8484.1,7500
Loja 97,Roraima,Norte,9342.62,7500
Loja 98,Alagoas,Nordeste,8039.79,7000
Loja 99,Rio Grande do Norte,Nordeste,8441.15,8200
Loja 100,Santa Catarina,Sul,9550.35,7200
Loja 101,Rio Grande do Norte,Nordeste,9209.68,7800
Loja 102,Santa Catarina,Sul,9127.17,8200
Loja 103,Pernambuco,Nordeste,6702.75,7500
Loja 104,Minas Gerais,Sudeste,9810.25,8000
