Loja,Estado,Região,Valor vendido,Meta de Vendas
Loja 1,Amapá,Norte,7938.48,7000
Loja 2,Amapá,Norte,7963.98,8000
Loja 3,Acre,Norte,7801.91,7000
Loja 4,Bahia,Nordeste,9475.92,8200
Loja 5,Alagoas,Nordeste,9316.96,8200
Loja 6,Roraima,Norte,6812.5,7200
Loja 7,Santa Catarina,Sul,7640.59,8500
Loja 8,Bahia,Nordeste,6435.02,7500
Loja 9,Tocantins,Norte,9039.84,8000
Loja 10,Rondônia,Norte,8786.18,7200
Loja 11,Espírito Santo,Sudeste,7921.34,7200
Loja 12,Amapá,Norte,8505.88,7500
Loja 13,Paraná,Sul,8878.3,7800
Loja 14,Bahia,Nordeste,7504.17,7000
Loja 15,Mato Grosso,Centro-Oeste,8939.39,8500
Loja 16,Pernambuco,Nordeste,7239.08,7500
Loja 17,Rio Grande do Sul,Sul,9868.58,8500
Loja 18,Santa Catarina,Sul,9716.64,8000
Loja 19,Amapá,Norte,9980.59,8500
Loja 20,Pará,Norte,7642.08,7000
Loja 21,Maranhão,Nordeste,7412.55,8200
Loja 22,Paraíba,Nordeste,8629.04,7800
Loja 23,Tocantins,Norte,8932.43,7500
Loja 24,Mato Grosso,Centro-Oeste,8551.75,7200
Loja 25,Santa Catarina,Sul,9499.57,8200
Loja 26,Tocantins,Norte,7689.97,8200
Loja 27,Pará,Norte,8955.37,8000
Loja 28,Mato Grosso do Sul,Centro-Oeste,8125.78,8200
Loja 29,Espírito Santo,Sudeste,9403.57,8200
Loja 30,Rio de Janeiro,Sudeste,9351.48,7000
Loja 31,Minas Gerais,Sudeste,7802.38,7200
Loja 32,Goiás,Centro-Oeste,7187.08,7500
Loja 33,Mato Grosso do Sul,Centro-Oeste,8712.16,7500
Loja 34,Piauí,Nordeste,8323.86,7200
Loja 35,Minas Gerais,Sudeste,9586.45,7500
Loja 36,Pernambuco,Nordeste,7846.14,7000
Loja 37,Santa Catarina,Sul,6944.56,7500
Loja 38,Pará,Norte,9946.05,8200
Loja 39,Piauí,Nordeste,9092.35,7200
Loja 40,Rondônia,Norte,9106.17,7500
Loja 41,Rio Grande do Sul,Sul,9654.76,7800
Loja 42,Amapá,Norte,6989.85,7000
Loja 43,Alagoas,Nordeste,7891.27,7200
Loja 44,Espírito Santo,Sudeste,9923.69,7800
Loja 45,Pará,Norte,7050.39,7500
Loja 46,Espírito Santo,Sudeste,9414.54,7500
Loja 47,Rio Grande do Sul,Sul,9360.1,7800
Loja 48,Acre,Norte,7696.51,8500
Loja 49,Rondônia,Norte,8975.71,7000
Loja 50,Roraima,Norte,9379.66,8500
Loja 51,Mato Grosso do Sul,Centro-Oeste,7365.65,8500
Loja 52,Acre,Norte,6432.28,8200
Loja 53,Maranhão,Nordeste,6282.24,8000
Loja 54,São Paulo,Sudeste,8913.91,7500
Loja 55,Ceará,Nordeste,9697.59,7200
Loja 56,Rio Grande do Norte,Nordeste,6755.56,8500
Loja 57,Mato Grosso,Centro-Oeste,8835.28,8500
Loja 58,Mato Grosso do Sul,Centro-Oeste,9001.09,7800
Loja 59,Paraíba,Nordeste,9258.84,8200
Loja 60,Santa Catarina,Sul,6767.56,8500
Loja 61,Mato Grosso do Sul,Centro-Oeste,9879.97,8200
Loja 62,Goiás,Centro-Oeste,6546.69,7800
Loja 63,Rondônia,Norte,6430.16,8500
Loja 64,Piauí,Nordeste,9375.28,8200
Loja 65,Amazonas,Norte,7697.43,7000
Loja 66,Espírito Santo,Sudeste,6393.85,8000
Loja 67,Santa Catarina,Sul,7842.88,7000
Loja 68,Piauí,Nordeste,6974.7,8500
Loja 69,Minas Gerais,Sudeste,9089.35,7800
Loja 70,Rondônia,Norte,7735.68,8000
Loja 71,Rio Grande do Sul,Sul,9866.91,8000
Loja 72,Espírito Santo,Sudeste,6371.01,8500
Loja 73,Bahia,Nordeste,7037.3,8200
Loja 74,Paraná,Sul,8771.2,7000
Loja 75,Pará,Norte,8031.01,8500
Loja 76,Ceará,Nordeste,7576.37,8500
Loja 77,Goiás,Centro-Oeste,8642.44,7200
Loja 78,Espírito Santo,Sudeste,7323.04,7500
Loja 79,Pará,Norte,6825.62,8200
Loja 80,Goiás,Centro-Oeste,9533.95,8000
Loja 81,Mato Grosso do Sul,Centro-Oeste,7076.77,8500
Loja 82,Mato Grosso,Centro-Oeste,8917.32,7500
Loja 83,Goiás,Centro-Oeste,8111.37,7800
Loja 84,Rio Grande do Sul,Sul,7068.2,7800
Loja 85,Amazonas,Norte,9113.24,7800
Loja 86,Mato Grosso,Centro-Oeste,7286.74,8000
Loja 87,Rio Grande do Sul,Sul,7076.0,8500
Loja 88,Mato Grosso,Centro-Oeste,7657.17,7200
Loja 89,Maranhão,Nordeste,6215.21,8000
Loja 90,Rio Grande do Norte,Nordeste,9606.35,7000
Loja 91,Santa Catarina,Sul,8061.94,7800
Loja 92,Rondônia,Norte,9103.67,7500
Loja 93,Mato Grosso,Centro-Oeste,9109.26,8200
Loja 94,Bahia,Nordeste,6004.11,8500
Loja 95,Rio de Janeiro,Sudeste,9249.06,8500
Loja 96,Sergipe,Nordeste,7429.48,7500
Loja 97,Roraima,Norte,9489.84,7500
Loja 98,Alagoas,Nordeste,6364.06,7000
Loja 99,Rio Grande do Norte,Nordeste,6597.55,8200
Loja 100,Santa Catarina,Sul,7860.21,7200
Loja 101,Rio Grande do Norte,Nordeste,8294.21,7800
Loja 102,Santa Catarina,Sul,7514.35,8200
Loja 103,Pernambuco,Nordeste,7017.93,7500
Loja 104,Minas Gerais,Sudeste,6216.93,8000
Loja 105,Alagoas,Nordeste,9037.56,8500
Loja 106,Espírito Santo,Sudeste,6794.89,8200
Loja 107,Piauí,Nordeste,6538.08,7000
Loja 108,Tocantins,Norte,9458.67,8000
Loja 109,Rio de Janeiro,Sudeste,9379.33,8200
Loja 110,Amazonas,Norte,7404.56,7800
Loja 111,Ceará,Nordeste,8621.35,7800
Loja 112,Rio Grande do Sul,Sul,7676.67,7800
Loja 113,Paraná,Sul,8097.85,8200
Loja 114,Goiás,Centro-Oeste,6600.46,8000
Loja 115,Rio Grande do Norte,Nordeste,6406.14,8200
Loja 116,Rio Grande do Norte,Nordeste,7803.07,7200
Loja 117,Mato Grosso do Sul,Centro-Oeste,6098.1,8500
Loja 118,Roraima,Norte,6968.43,7200
Loja 119,Piauí,Nordeste,6588.79,8000
Loja 120,Rio Grande do Sul,Sul,7611.67,8200
Loja 121,Bahia,Nordeste,8693.94,7200
Loja 122,Santa Catarina,Sul,7651.56,7500
Loja 123,Minas Gerais,Sudeste,8289.85,7200
Loja 124,Rio de Janeiro,Sudeste,7097.08,8500
Loja 125,Mato Grosso,Centro-Oeste,8738.3,8200
Loja 126,Alagoas,Nordeste,7970.66,8200
Loja 127,Roraima,Norte,8185.51,8500
Loja 128,Alagoas,Nordeste,8741.76,7800
Loja 129,Mato Grosso,Centro-Oeste,7134.8,7500
Loja 130,Alagoas,Nordeste,7854.49,8000
Loja 131,Pará,Norte,8911.65,8200
