Loja,Estado,Região,Valor vendido,Meta de Vendas
Loja 1,Maranhão,Nordeste,6160.68,7000
Loja 2,Amazonas,Norte,7063.05,7500
Loja 3,São Paulo,Sudeste,7011.41,8500
Loja 4,Minas Gerais,Sudeste,6438.51,7000
Loja 5,Pernambuco,Nordeste,6304.94,8000
Loja 6,Bahia,Nordeste,6814.55,8200
Loja 7,Paraíba,Nordeste,8485.7,7200
Loja 8,Roraima,Norte,6207.25,7800
Loja 9,Santa Catarina,Sul,7702.97,7200
Loja 10,Sergipe,Nordeste,6531.21,7800
Loja 11,Sergipe,Nordeste,6356.34,7200
Loja 12,Pernambuco,Nordeste,6387.92,8000
Loja 13,Amapá,Norte,7858.24,8000
Loja 14,Rio Grande do Sul,Sul,8714.64,7200
Loja 15,Espírito Santo,Sudeste,9702.82,7200
Loja 16,Ceará,Nordeste,7693.74,7000
Loja 17,Pará,Norte,7873.29,8200
Loja 18,Mato Grosso,Centro-Oeste,8430.54,8000
Loja 19,Paraná,Sul,9989.73,7500
Loja 20,Minas Gerais,Sudeste,7668.9,8200
Loja 21,Paraíba,Nordeste,9853.1,8500
Loja 22,Mato Grosso do Sul,Centro-Oeste,7877.76,8000
Loja 23,Rondônia,Norte,8575.87,7800
Loja 24,Santa Catarina,Sul,9329.27,8500
Loja 25,Ceará,Nordeste,9018.87,7000
Loja 26,Mato Grosso,Centro-Oeste,6670.94,7800
Loja 27,Piauí,Nordeste,6398.54,8000
Loja 28,Espírito Santo,Sudeste,9658.68,8200
Loja 29,Maranhão,Nordeste,6929.47,7500
Loja 30,Amapá,Norte,9485.27,7500
Loja 31,Roraima,Norte,9477.24,8200
Loja 32,Alagoas,Nordeste,9531.63,7000
Loja 33,Amazonas,Norte,8653.5,7000
Loja 34,Maranhão,Nordeste,6969.62,7000
Loja 35,Pernambuco,Nordeste,9327.68,8000
Loja 36,Ceará,Nordeste,9129.41,8500
Loja 37,Piauí,Nordeste,6586.65,7500
Loja 38,Rio Grande do Sul,Sul,8614.53,8000
Loja 39,Piauí,Nordeste,7024.91,8000
Loja 40,Roraima,Norte,7173.05,8200
Loja 41,Rio Grande do Sul,Sul,6489.69,8200
Loja 42,Paraíba,Nordeste,7777.4,7000
Loja 43,Piauí,Nordeste,7327.91,7200
Loja 44,São Paulo,Sudeste,9115.78,7200
Loja 45,Amapá,Norte,8815.91,7000
Loja 46,Santa Catarina,Sul,9956.06,7500
Loja 47,Sergipe,Nordeste,9234.13,7800
Loja 48,Tocantins,Norte,8630.69,8000
Loja 49,Ceará,Nordeste,8558.36,8000
Loja 50,Santa Catarina,Sul,8060.42,8000
Loja 51,Rondônia,Norte,9855.48,8000
Loja 52,Pernambuco,Nordeste,7947.81,8000
Loja 53,Alagoas,Nordeste,8061.29,8200
Loja 54,Maranhão,Nordeste,6706.71,7800
Loja 55,Paraná,Sul,6048.2,8500
Loja 56,Espírito Santo,Sudeste,6819.01,7800
Loja 57,Maranhão,Nordeste,9849.69,7800
Loja 58,Bahia,Nordeste,6983.96,7500
Loja 59,Pará,Norte,8448.2,8200
Loja 60,Roraima,Norte,6779.78,7000
Loja 61,Paraíba,Nordeste,7255.53,8200
Loja 62,Amapá,Norte,6184.23,7800
Loja 63,Mato Grosso,Centro-Oeste,8103.99,7800
Loja 64,Bahia,Nordeste,6763.89,8000
Loja 65,Rio de Janeiro,Sudeste,9663.17,8500
Loja 66,Mato Grosso,Centro-Oeste,8131.41,7000
Loja 67,Paraná,Sul,6968.88,7200
Loja 68,Pernambuco,Nordeste,7377.91,8500
Loja 69,Mato Grosso,Centro-Oeste,7649.81,7500
Loja 70,Bahia,Nordeste,9797.09,7000
Loja 71,Rio Grande do Norte,Nordeste,6869.79,7800
Loja 72,Maranhão,Nordeste,9075.85,7500
Loja 73,Roraima,Norte,6902.64,8500
Loja 74,Alagoas,Nordeste,7037.91,7200
Loja 75,Minas Gerais,Sudeste,8170.6,8200
Loja 76,Santa Catarina,Sul,7200.51,7800
Loja 77,Amapá,Norte,6395.63,7200
Loja 78,Goiás,Centro-Oeste,8177.95,7000
Loja 79,Ceará,Nordeste,6936.15,8000
Loja 80,Roraima,Norte,8125.19,7000
Loja 81,Goiás,Centro-Oeste,8137.46,7000
Loja 82,Rio de Janeiro,Sudeste,6361.47,7200
Loja 83,Paraíba,Nordeste,6151.42,8200
Loja 84,Paraíba,Nordeste,8366.12,7000
Loja 85,Santa Catarina,Sul,8643.94,7000
Loja 86,Alagoas,Nordeste,8498.56,8200
Loja 87,Mato Grosso do Sul,Centro-Oeste,7302.2,8500
Loja 88,Mato Grosso,Centro-Oeste,6231.41,8000
Loja 89,Minas Gerais,Sudeste,7596.08,8000
Loja 90,Mato Grosso,Centro-Oeste,7799.55,8000
Loja 91,Amapá,Norte,7149.5,7800
Loja 92,Ceará,Nordeste,7481.53,8500
Loja 93,Rio Grande do Norte,Nordeste,9862.52,7800
Loja 94,Pará,Norte,6389.04,7800
Loja 95,Amazonas,Norte,6669.24,8000
Loja 96,Mato Grosso,Centro-Oeste,9532.93,7800
Loja 97,Pará,Norte,7988.05,7800
Loja 98,Amapá,Norte,8084.8,7800
Loja 99,Maranhão,Nordeste,6155.72,7800
Loja 100,Pernambuco,Nordeste,8625.54,8500
Loja 101,Bahia,Nordeste,8459.64,7000
Loja 102,Amapá,Norte,8750.86,8000
Loja 103,Acre,Norte,9270.46,7800
Loja 104,Acre,Norte,6721.31,7500
Loja 105,Ceará,Nordeste,6835.32,7200
Loja 106,Paraíba,Nordeste,8285.5,8000
Loja 107,Bahia,Nordeste,8679.5,8000
Loja 108,Goiás,Centro-Oeste,9901.87,7800
Loja 109,Paraíba,Nordeste,9572.67,7000
Loja 110,Pernambuco,Nordeste,6817.24,7500
Loja 111,Rondônia,Norte,7591.69,7000
Loja 112,Paraíba,Nordeste,7009.82,7200
Loja 113,Maranhão,Nordeste,6306.22,7200
Loja 114,Espírito Santo,Sudeste,9559.72,8000
Loja 115,Minas Gerais,Sudeste,9499.52,8000
Loja 116,Sergipe,Nordeste,8047.98,8000
Loja 117,Santa Catarina,Sul,6408.41,7200
Loja 118,Espírito Santo,Sudeste,6394.07,7000
Loja 119,Rio de Janeiro,Sudeste,9996.4,8500
Loja 120,Bahia,Nordeste,6888.41,7000
Loja 121,Rondônia,Norte,9444.93,8000
Loja 122,Espírito Santo,Sudeste,7056.28,7000
Loja 123,Ceará,Nordeste,7238.45,7800
Loja 124,São Paulo,Sudeste,8541.36,8200
Loja 125,Espírito Santo,Sudeste,7898.12,7500
Loja 126,Paraná,Sul,6162.84,7500
Loja 127,Maranhão,Nordeste,6201.62,7500
Loja 128,Amazonas,Norte,7060.56,8200
Loja 129,Rio de Janeiro,Sudeste,9300.22,8500
Loja 130,Rio de Janeiro,Sudeste,9187.36,7500
Loja 131,Paraíba,Nordeste,9068.62,7000
Loja 132,Amapá,Norte,7669.33,7500
Loja 133,Alagoas,Nordeste,7688.82,7500
Loja 134,Rio Grande do Norte,Nordeste,8152.99,8500
Loja 135,Amapá,Norte,6403.71,7500
Loja 136,Rondônia,Norte,7561.53,7000
Loja 137,Bahia,Nordeste,7132.08,7800
Loja 138,Bahia,Nordeste,6478.63,8500
Loja 139,Ceará,Nordeste,7832.61,7800
Loja 140,Minas Gerais,Sudeste,7150.27,7000
Loja 141,Amapá,Norte,6995.93,8000
Loja 142,Minas Gerais,Sudeste,8738.13,8500
Loja 143,Espírito Santo,Sudeste,6240.52,7000
Loja 144,Rio Grande do Norte,Nordeste,9250.9,7200
Loja 145,Maranhão,Nordeste,8701.0,8500
Loja 146,Minas Gerais,Sudeste,9659.9,7500
Loja 147,Rio Grande do Norte,Nordeste,8845.29,8500
Loja 148,Roraima,Norte,8842.15,8000
Loja 149,Ceará,Nordeste,7291.83,7000
Loja 150,Ceará,Nordeste,6259.18,7000
Loja 151,Mato Grosso,Centro-Oeste,7916.05,7500
Loja 152,Amazonas,Norte,6487.47,7800
Loja 153,Goiás,Centro-Oeste,8710.25,7000
Loja 154,Mato Grosso,Centro-Oeste,8063.3,7500
Loja 155,São Paulo,Sudeste,9728.24,8500
Loja 156,Espírito Santo,Sudeste,8837.06,8200
Loja 157,Amazonas,Norte,9020.31,7500
Loja 158,Rio Grande do Norte,Nordeste,6419.79,7200
Loja 159,Rondônia,Norte,7047.05,7800
Loja 160,Minas Gerais,Sudeste,7727.08,7000
Loja 161,Espírito Santo,Sudeste,6499.02,8000
