Loja,Estado,Região,Valor vendido,Meta de Vendas
Loja 1,Maranhão,Nordeste,9702.01,7000
Loja 2,Amazonas,Norte,9544.06,7500
Loja 3,São Paulo,Sudeste,8224.71,8500
Loja 4,Minas Gerais,Sudeste,9500.06,7000
Loja 5,Pernambuco,Nordeste,9665.3,8000
Loja 6,Bahia,Nordeste,9284.89,8200
Loja 7,Paraíba,Nordeste,8243.64,7200
Loja 8,Roraima,Norte,8601.32,7800
Loja 9,Santa Catarina,Sul,7094.65,7200
Loja 10,Sergipe,Nordeste,7877.74,7800
Loja 11,Sergipe,Nordeste,8363.25,7200
Loja 12,Pernambuco,Nordeste,8990.61,8000
Loja 13,Amapá,Norte,6084.65,8000
Loja 14,Rio Grande do Sul,Sul,7315.22,7200
Loja 15,Espírito Santo,Sudeste,9084.85,7200
Loja 16,Ceará,Nordeste,6988.06,7000
Loja 17,Pará,Norte,9862.0,8200
Loja 18,Mato Grosso,Centro-Oeste,8028.03,8000
Loja 19,Paraná,Sul,9380.43,7500
Loja 20,Minas Gerais,Sudeste,8403.52,8200
Loja 21,Paraíba,Nordeste,8830.83,8500
Loja 22,Mato Grosso do Sul,Centro-Oeste,6217.24,8000
Loja 23,Rondônia,Norte,8937.19,7800
Loja 24,Santa Catarina,Sul,7629.33,8500
Loja 25,Ceará,Nordeste,9740.4,7000
Loja 26,Mato Grosso,Centro-Oeste,7637.38,7800
Loja 27,Piauí,Nordeste,7656.06,8000
Loja 28,Espírito Santo,Sudeste,7677.79,8200
Loja 29,Maranhão,Nordeste,9267.55,7500
Loja 30,Amapá,Norte,9065.06,7500
Loja 31,Roraima,Norte,6953.0,8200
Loja 32,Alagoas,Nordeste,7410.81,7000
Loja 33,Amazonas,Norte,9692.97,7000
Loja 34,Maranhão,Nordeste,6045.26,7000
Loja 35,Pernambuco,Nordeste,8783.91,8000
Loja 36,Ceará,Nordeste,9302.15,8500
Loja 37,Piauí,Nordeste,7673.42,7500
Loja 38,Rio Grande do Sul,Sul,9026.25,8000
Loja 39,Piauí,Nordeste,6937.56,8000
Loja 40,Roraima,Norte,8449.47,8200
Loja 41,Rio Grande do Sul,Sul,6124.81,8200
Loja 42,Paraíba,Nordeste,7497.12,7000
Loja 43,Piauí,Nordeste,6062.94,7200
Loja 44,São Paulo,Sudeste,8428.21,7200
Loja 45,Amapá,Norte,6901.53,7000
Loja 46,Santa Catarina,Sul,9641.21,7500
Loja 47,Sergipe,Nordeste,6609.97,7800
Loja 48,Tocantins,Norte,7603.75,8000
Loja 49,Ceará,Nordeste,9093.52,8000
Loja 50,Santa Catarina,Sul,6872.7,8000
Loja 51,Rondônia,Norte,9049.86,8000
Loja 52,Pernambuco,Nordeste,7291.41,8000
Loja 53,Alagoas,Nordeste,9746.0,8200
Loja 54,Maranhão,Nordeste,8464.67,7800
Loja 55,Paraná,Sul,6165.86,8500
Loja 56,Espírito Santo,Sudeste,6243.24,7800
Loja 57,Maranhão,Nordeste,7515.9,7800
Loja 58,Bahia,Nordeste,8088.5,7500
Loja 59,Pará,Norte,9002.95,8200
Loja 60,Roraima,Norte,6693.1,7000
Loja 61,Paraíba,Nordeste,8397.96,8200
Loja 62,Amapá,Norte,9011.26,7800
Loja 63,Mato Grosso,Centro-Oeste,7819.64,7800
Loja 64,Bahia,Nordeste,6361.28,8000
Loja 65,Rio de Janeiro,Sudeste,9837.92,8500
Loja 66,Mato Grosso,Centro-Oeste,6510.39,7000
Loja 67,Paraná,Sul,6748.88,7200
