Loja,Estado,Região,Valor vendido,Meta de Vendas
Loja 1, Espírito Santo, Sudeste,7443.87,7800
Loja 2, Mato Grosso, Centro-Oeste,8788.57,8200
Loja 3, Roraima, Norte,8176.08,8500
Loja 4, Piauí, Nordeste,6428.65,7500
Loja 5, Paraíba, Nordeste,9724.21,8000
Loja 6, Sergipe, Nordeste,8895.67,7200
Loja 7, Minas Gerais, Sudeste,7625.98,7200
Loja 8, Paraná, Sul,9964.81,8500
Loja 9, Espírito Santo, Sudeste,9226.15,8000
Loja 10, Paraná, Sul,7938.55,8500
Loja 11, Rondônia, Norte,9521.9,7800
Loja 12, Paraná, Sul,7331.83,8000
Loja 13, Espírito Santo, Sudeste,8122.22,8000
Loja 14, Tocantins, Norte,6925.63,7200
Loja 15, Rio Grande do Norte, Nordeste,7784.05,7200
Loja 16, Santa Catarina, Sul,8155.69,7500
Loja 17, Paraíba, Nordeste,6102.91,8000
Loja 18, Bahia, Nordeste,8314.92,8000
Loja 19, Acre, Norte,6530.49,7500
Loja 20, Acre, Norte,9936.79,7000
Loja 21, Mato Grosso do Sul, Centro-Oeste,8134.41,8500
Loja 22, Mato Grosso do Sul, Centro-Oeste,8558.34,7500
Loja 23, Mato Grosso do Sul, Centro-Oeste,8249.65,8500
Loja 24, Rio Grande do Norte, Nordeste,6668.33,8200
Loja 25, Alagoas, Nordeste,9634.37,8500
Loja 26, Ceará, Nordeste,9750.99,7800
Loja 27, Rio Grande do Norte, Nordeste,6462.76,7500
Loja 28, Roraima, Norte,7005.48,8500
Loja 29, Ceará, Nordeste,9315.84,7500
Loja 30, Piauí, Nordeste,8165.67,7500
Loja 31, Maranhão, Nordeste,7611.65,8200
Loja 32, Rio Grande do Sul, Sul,8894.9,8000
Loja 33, Rio Grande do Sul, Sul,6159.87,8000
Loja 34, Maranhão, Nordeste,9549.3,7500
Loja 35, Roraima, Norte,7319.85,7800
Loja 36, Piauí, Nordeste,6284.74,7200
Loja 37, Santa Catarina, Sul,9907.38,7500
Loja 38, Pará, Norte,8483.46,7000
Loja 39, Rio de Janeiro, Sudeste,9083.88,7800
Loja 40, São Paulo, Sudeste,8767.14,8500
Loja 41, Bahia, Nordeste,6086.11,7200
Loja 42, Roraima, Norte,8218.01,7200
Loja 43, Mato Grosso, Centro-Oeste,9562.72,7800
Loja 44, Rio Grande do Norte, Nordeste,6119.38,8200
Loja 45, Rio Grande do Norte, Nordeste,7418.97,7200
Loja 46, Maranhão, Nordeste,7231.9,8000
Loja 47, Pernambuco, Nordeste,9224.98,7800
Loja 48, Piauí, Nordeste,9707.13,7000
Loja 49, Goiás, Centro-Oeste,8300.92,8200
Loja 50, Mato Grosso, Centro-Oeste,9479.55,7200
Loja 51, Rondônia, Norte,6946.42,7200
Loja 52, Santa Catarina, Sul,8980.15,7500
Loja 53, Santa Catarina, Sul,6250.71,7500
Loja 54, Mato Grosso, Centro-Oeste,8161.7,7200
Loja 55, Minas Gerais, Sudeste,8959.07,8500
Loja 56, Tocantins, Norte,6486.34,7200
Loja 57, Amapá, Norte,8060.65,8000
Loja 58, Roraima, Norte,6159.0,8500
Loja 59, Maranhão, Nordeste,8130.0,7200
Loja 60, Rondônia, Norte,8077.83,7500
Loja 61, Rio de Janeiro, Sudeste,8185.9,7200
Loja 62, Mato Grosso do Sul, Centro-Oeste,6918.96,7800
Loja 63, Alagoas, Nordeste,9264.54,7800
Loja 64, Acre, Norte,8344.86,8000
Loja 65, Mato Grosso, Centro-Oeste,8660.47,7500
Loja 66, Rio Grande do Sul, Sul,8333.7,8500
Loja 67, Mato Grosso, Centro-Oeste,6137.41,8200
Loja 68, Ceará, Nordeste,8311.43,8500
Loja 69, Tocantins, Norte,9440.09,8500
Loja 70, Minas Gerais, Sudeste,6638.51,8200
Loja 71, Sergipe, Nordeste,8642.97,8500
Loja 72, Paraná, Sul,9724.56,8500
Loja 73, Espírito Santo, Sudeste,7392.25,7500
Loja 74, Tocantins, Norte,8952.48,8000
Loja 75, Sergipe, Nordeste,7789.48,7000
Loja 76, Acre, Norte,7383.48,7000
Loja 77, Espírito Santo, Sudeste,6869.04,7200
Loja 78, Paraná, Sul,7079.23,8000
Loja 79, Maranhão, Nordeste,8639.2,7500
Loja 80, Mato Grosso, Centro-Oeste,8654.7,7500
Loja 81, Sergipe, Nordeste,7972.5,8200
Loja 82, São Paulo, Sudeste,6820.78,8500
Loja 83, Rio Grande do Sul, Sul,7434.63,7800
Loja 84, Ceará, Nordeste,6618.59,7000
Loja 85, Amapá, Norte,6627.99,7800
Loja 86, Mato Grosso do Sul, Centro-Oeste,7707.31,7500
Loja 87, Tocantins, Norte,9083.07,7500
Loja 88, Pernambuco, Nordeste,9433.45,7500
Loja 89, Rio Grande do Sul, Sul,7706.39,7500
Loja 90, Sergipe, Nordeste,8347.37,8200
Loja 91, Rio de Janeiro, Sudeste,8722.28,8000
Loja 92, Santa Catarina, Sul,9724.14,8500
Loja 93, Rio Grande do Norte, Nordeste,9994.09,7200
Loja 94, Pará, Norte,8262.99,7500
Loja 95, Santa Catarina, Sul,7049.99,7500
Loja 96, Tocantins, Norte,9011.68,7500
Loja 97, Sergipe, Nordeste,9280.77,7800
Loja 98, Pará, Norte,8172.48,8500
Loja 99, São Paulo, Sudeste,9927.27,8200
Loja 100, Alagoas, Nordeste,8775.66,8200
Loja 101, Santa Catarina, Sul,8376.92,8500
Loja 102, Rio Grande do Norte, Nordeste,6589.89,8200
Loja 103, Mato Grosso, Centro-Oeste,7809.02,8000
Loja 104, Rio Grande do Norte, Nordeste,7958.45,8500
Loja 105, Ceará, Nordeste,8216.46,7500
Loja 106, Paraíba, Nordeste,7964.89,7000
Loja 107, Piauí, Nordeste,7634.34,8000
Loja 108, Bahia, Nordeste,7904.79,7500
Loja 109, Rio de Janeiro, Sudeste,9825.15,7000
Loja 110, Roraima, Norte,7976.56,7200
Loja 111, Rio Grande do Sul, Sul,9202.3,8200
Loja 112, Rio de Janeiro, Sudeste,8506.04,8200
Loja 113, Tocantins, Norte,6045.97,7800
Loja 114, Ceará, Nordeste,6344.89,7500
Loja 115, Roraima, Norte,7385.01,7200
Loja 116, Amazonas, Norte,6363.67,8000
Loja 117, Bahia, Nordeste,8888.6,7800
Loja 118, Rondônia, Norte,6553.41,7800
Loja 119, Piauí, Nordeste,9240.64,7500
Loja 120, Ceará, Nordeste,7319.66,8000
Loja 121, Amazonas, Norte,8812.74,8500
Loja 122, São Paulo, Sudeste,6883.68,8200
Loja 123, Rio de Janeiro, Sudeste,8400.8,8500
Loja 124, Pernambuco, Nordeste,9774.68,7500
Loja 125, Santa Catarina, Sul,6634.69,7500
Loja 126, Minas Gerais, Sudeste,9748.41,8500
Loja 127, Rio Grande do Norte, Nordeste,6119.4,7500
Loja 128, Sergipe, Nordeste,8647.58,7500
Loja 129, Sergipe, Nordeste,6799.66,8500
Loja 130, Sergipe, Nordeste,9741.24,7000
Loja 131, Piauí, Nordeste,8222.0,8500
Loja 132, Mato Grosso do Sul, Centro-Oeste,9875.4,7800
Loja 133, Pernambuco, Nordeste,6467.7,8200
Loja 134, Rio Grande do Sul, Sul,8397.23,8000
Loja 135, Tocantins, Norte,7458.58,7800
Loja 136, Tocantins, Norte,8001.99,7000
Loja 137, Pará, Norte,6357.66,8500
Loja 138, Rio Grande do Sul, Sul,6916.4,8500
Loja 139, Rondônia, Norte,9039.03,7200
Loja 140, Espírito Santo, Sudeste,7286.93,7200
Loja 141, Santa Catarina, Sul,6541.33,7800
Loja 142, Amapá, Norte,7292.09,8000
