Loja,Estado,Região,Valor vendido,Meta de Vendas
Loja 1,Piauí,Nordeste,6415.79,8200
Loja 2,Acre,Norte,8641.92,8200
Loja 3,Santa Catarina,Sul,6559.19,7000
Loja 4,Santa Catarina,Sul,7935.54,8000
Loja 5,Mato Grosso do Sul,Centro-Oeste,9977.53,7000
Loja 6,Acre,Norte,7512.28,8500
Loja 7,Bahia,Nordeste,8913.5,7000
Loja 8,Roraima,Norte,9380.29,7200
Loja 9,Bahia,Nordeste,7875.61,7000
Loja 10,Maranhão,Nordeste,9093.26,7800
Loja 11,Espírito Santo,Sudeste,6466.72,7000
Loja 12,Santa Catarina,Sul,9339.43,7800
Loja 13,Mato Grosso do Sul,Centro-Oeste,9440.6,7500
Loja 14,Paraíba,Nordeste,7048.75,7200
Loja 15,Sergipe,Nordeste,8675.66,7200
Loja 16,Bahia,Nordeste,8160.42,8500
Loja 17,Mato Grosso do Sul,Centro-Oeste,9536.75,7000
Loja 18,Maranhão,Nordeste,9255.32,7200
Loja 19,Maranhão,Nordeste,7769.28,7200
Loja 20,Amazonas,Norte,6034.8,7500
Loja 21,Pará,Norte,6122.26,7500
Loja 22,Bahia,Nordeste,8885.62,7000
Loja 23,Roraima,Norte,8775.12,7800
Loja 24,Alagoas,Nordeste,7371.26,7800
Loja 25,Sergipe,Nordeste,7304.67,7800
Loja 26,Amapá,Norte,9607.01,8500
Loja 27,Ceará,Nordeste,7734.81,7200
Loja 28,São Paulo,Sudeste,8156.44,7500
Loja 29,Rio Grande do Norte,Nordeste,7525.35,7500
Loja 30,Paraná,Sul,6196.05,7800
Loja 31,Acre,Norte,7156.86,8500
Loja 32,Rio Grande do Sul,Sul,8745.94,7500
Loja 33,Alagoas,Nordeste,8263.29,8500
Loja 34,Ceará,Nordeste,6421.91,8000
Loja 35,Goiás,Centro-Oeste,9795.56,7800
Loja 36,Amazonas,Norte,6601.17,7000
Loja 37,Goiás,Centro-Oeste,9722.21,7800
Loja 38,Amazonas,Norte,6889.14,8500
Loja 39,Maranhão,Nordeste,6293.15,8500
Loja 40,Roraima,Norte,9847.4,8000
Loja 41,Tocantins,Norte,8584.55,7800
Loja 42,Espírito Santo,Sudeste,6510.26,8200
Loja 43,Bahia,Nordeste,8251.82,8500
Loja 44,Santa Catarina,Sul,8464.51,8000
Loja 45,Tocantins,Norte,8274.74,7200
Loja 46,Mato Grosso do Sul,Centro-Oeste,8109.6,7500
Loja 47,Bahia,Nordeste,8778.67,8200
Loja 48,Pará,Norte,9876.46,7800
Loja 49,Paraíba,Nordeste,8913.51,7800
Loja 50,Paraná,Sul,7154.22,7500
Loja 51,Rio Grande do Sul,Sul,8484.35,7500
Loja 52,Piauí,Nordeste,9772.96,7000
Loja 53,Paraná,Sul,7370.92,7000
Loja 54,Santa Catarina,Sul,8914.38,8200
Loja 55,Pernambuco,Nordeste,9015.21,7500
Loja 56,Minas Gerais,Sudeste,8611.33,8000
Loja 57,Pará,Norte,9285.62,7200
Loja 58,Minas Gerais,Sudeste,7042.55,7800
Loja 59,Rio Grande do Sul,Sul,8770.91,7000
Loja 60,Tocantins,Norte,8550.62,7200
Loja 61,Rio Grande do Sul,Sul,7916.77,8500
Loja 62,Pernambuco,Nordeste,8465.2,8500
Loja 63,Rio Grande do Norte,Nordeste,6284.05,8500
Loja 64,Paraná,Sul,8259.09,7500
Loja 65,Paraíba,Nordeste,7337.61,7500
Loja 66,Maranhão,Nordeste,7295.41,7500
Loja 67,Rondônia,Norte,9480.44,7200
Loja 68,Pernambuco,Nordeste,7712.84,7800
Loja 69,Goiás,Centro-Oeste,8919.0,8000
Loja 70,São Paulo,Sudeste,9727.27,7000
Loja 71,Pará,Norte,7291.81,8000
Loja 72,Rio Grande do Sul,Sul,9795.38,8200
Loja 73,Bahia,Nordeste,8384.94,7800
Loja 74,Mato Grosso do Sul,Centro-Oeste,9040.12,7000
Loja 75,Roraima,Norte,6980.58,7200
Loja 76,Maranhão,Nordeste,9544.26,8200
Loja 77,Maranhão,Nordeste,6937.39,7800
Loja 78,Mato Grosso,Centro-Oeste,6591.61,7500
Loja 79,Amapá,Norte,7009.16,8000
Loja 80,Alagoas,Nordeste,7230.85,7500
Loja 81,Mato Grosso do Sul,Centro-Oeste,6214.99,7000
Loja 82,São Paulo,Sudeste,9471.52,7000
Loja 83,Bahia,Nordeste,7354.13,7000
Loja 84,Piauí,Nordeste,7188.22,8200
Loja 85,Bahia,Nordeste,9736.34,7200
Loja 86,Rio Grande do Sul,Sul,6417.67,7800
Loja 87,Maranhão,Nordeste,9276.77,8000
Loja 88,Amapá,Norte,9964.99,8500
Loja 89,Paraná,Sul,7728.59,7000
Loja 90,Amazonas,Norte,9318.85,7200
Loja 91,Rondônia,Norte,8466.43,7000
Loja 92,Maranhão,Nordeste,8376.54,7800
Loja 93,Rio Grande do Norte,Nordeste,8399.98,8500
Loja 94,Rio Grande do Norte,Nordeste,7264.46,7500
Loja 95,Mato Grosso do Sul,Centro-Oeste,9566.74,7000
Loja 96,Tocantins,Norte,6276.36,7200
Loja 97,Tocantins,Norte,8755.28,7500
Loja 98,Minas Gerais,Sudeste,6730.72,7500
Loja 99,Goiás,Centro-Oeste,6698.02,7800
Loja 100,Maranhão,Nordeste,7713.65,7200
Loja 101,Ceará,Nordeste,8940.41,7200
Loja 102,Rondônia,Norte,6130.65,8000
Loja 103,Alagoas,Nordeste,6335.48,7000
Loja 104,Amazonas,Norte,9671.57,8500
Loja 105,Amazonas,Norte,9136.67,8200
Loja 106,Santa Catarina,Sul,8260.83,8000
Loja 107,Minas Gerais,Sudeste,9605.26,8000
Loja 108,Sergipe,Nordeste,9431.25,8000
Loja 109,Espírito Santo,Sudeste,8942.48,7000
Loja 110,Rondônia,Norte,6939.2,8500
Loja 111,Mato Grosso,Centro-Oeste,6278.71,7000
Loja 112,Bahia,Nordeste,8551.27,7500
Loja 113,Piauí,Nordeste,8767.17,7500
Loja 114,Alagoas,Nordeste,9734.93,8500
Loja 115,Amazonas,Norte,7585.87,7800
Loja 116,Amazonas,Norte,7911.43,8000
Loja 117,Tocantins,Norte,8250.56,8000
Loja 118,Piauí,Nordeste,8006.36,7800
Loja 119,Bahia,Nordeste,6936.74,7200
Loja 120,Rondônia,Norte,8052.27,7500
Loja 121,Mato Grosso do Sul,Centro-Oeste,6413.91,8500
Loja 122,Bahia,Nordeste,8762.44,7200
Loja 123,São Paulo,Sudeste,6965.83,7000
Loja 124,Paraná,Sul,7519.86,8200
Loja 125,Rio de Janeiro,Sudeste,9131.8,7800
Loja 126,Mato Grosso do Sul,Centro-Oeste,9269.55,7800
Loja 127,Minas Gerais,Sudeste,9504.34,8200
Loja 128,Paraíba,Nordeste,6883.75,7200
Loja 129,Santa Catarina,Sul,8241.22,7000
Loja 130,Mato Grosso do Sul,Centro-Oeste,8014.89,8000
