Loja,Estado,Região,Valor vendido,Meta de Vendas
Loja 1,Piauí,Nordeste,9414.18,8200
Loja 2,Acre,Norte,8141.36,8200
Loja 3,Santa Catarina,Sul,9548.16,7000
Loja 4,Santa Catarina,Sul,9746.9,8000
Loja 5,Mato Grosso do Sul,Centro-Oeste,7589.0,7000
Loja 6,Acre,Norte,7966.7,8500
Loja 7,Bahia,Nordeste,9659.64,7000
Loja 8,Roraima,Norte,7747.9,7200
Loja 9,Bahia,Nordeste,6730.56,7000
Loja 10,Maranhão,Nordeste,9386.84,7800
Loja 11,Espírito Santo,Sudeste,7198.22,7000
Loja 12,Santa Catarina,Sul,6368.95,7800
Loja 13,Mato Grosso do Sul,Centro-Oeste,6377.83,7500
Loja 14,Paraíba,Nordeste,9301.77,7200
Loja 15,Sergipe,Nordeste,6047.57,7200
Loja 16,Bahia,Nordeste,7030.46,8500
Loja 17,Mato Grosso do Sul,Centro-Oeste,7136.84,7000
Loja 18,Maranhão,Nordeste,9011.9,7200
Loja 19,Maranhão,Nordeste,6516.61,7200
Loja 20,Amazonas,Norte,7528.55,7500
Loja 21,Pará,Norte,6267.68,7500
Loja 22,Bahia,Nordeste,9655.53,7000
Loja 23,Roraima,Norte,7890.89,7800
Loja 24,Alagoas,Nordeste,8081.67,7800
Loja 25,Sergipe,Nordeste,8663.22,7800
Loja 26,Amapá,Norte,9576.06,8500
Loja 27,Ceará,Nordeste,7895.69,7200
Loja 28,São Paulo,Sudeste,6442.92,7500
Loja 29,Rio Grande do Norte,Nordeste,6625.74,7500
Loja 30,Paraná,Sul,6320.08,7800
Loja 31,Acre,Norte,9517.04,8500
Loja 32,Rio Grande do Sul,Sul,6192.86,7500
Loja 33,Alagoas,Nordeste,7954.29,8500
Loja 34,Ceará,Nordeste,7756.22,8000
Loja 35,Goiás,Centro-Oeste,9582.99,7800
Loja 36,Amazonas,Norte,6117.67,7000
Loja 37,Goiás,Centro-Oeste,7526.85,7800
Loja 38,Amazonas,Norte,6692.7,8500
Loja 39,Maranhão,Nordeste,8224.59,8500
Loja 40,Roraima,Norte,7221.99,8000
Loja 41,Tocantins,Norte,7439.26,7800
Loja 42,Espírito Santo,Sudeste,7542.79,8200
Loja 43,Bahia,Nordeste,7468.24,8500
Loja 44,Santa Catarina,Sul,6657.19,8000
Loja 45,Tocantins,Norte,7178.27,7200
Loja 46,Mato Grosso do Sul,Centro-Oeste,6597.61,7500
Loja 47,Bahia,Nordeste,8019.18,8200
Loja 48,Pará,Norte,6879.59,7800
Loja 49,Paraíba,Nordeste,7547.81,7800
Loja 50,Paraná,Sul,9745.92,7500
Loja 51,Rio Grande do Sul,Sul,9502.78,7500
Loja 52,Piauí,Nordeste,9554.18,7000
Loja 53,Paraná,Sul,9083.22,7000
Loja 54,Santa Catarina,Sul,7207.11,8200
Loja 55,Pernambuco,Nordeste,6351.29,7500
