Loja,Estado,Região,Valor vendido,Meta de Vendas
Loja 1,Piauí,Nordeste,6894.55,8200
Loja 2,Acre,Norte,8449.07,8200
Loja 3,Santa Catarina,Sul,6794.61,7000
Loja 4,Santa Catarina,Sul,8610.22,8000
Loja 5,Mato Grosso do Sul,Centro-Oeste,9828.26,7000
Loja 6,Acre,Norte,8351.05,8500
Loja 7,Bahia,Nordeste,9631.38,7000
Loja 8,Roraima,Norte,9714.75,7200
Loja 9,Bahia,Nordeste,6071.7,7000
Loja 10,Maranhão,Nordeste,8756.73,7800
Loja 11,Espírito Santo,Sudeste,6362.57,7000
Loja 12,Santa Catarina,Sul,6943.13,7800
Loja 13,Mato Grosso do Sul,Centro-Oeste,6041.39,7500
Loja 14,Paraíba,Nordeste,7211.96,7200
Loja 15,Sergipe,Nordeste,6859.74,7200
Loja 16,Bahia,Nordeste,7097.06,8500
Loja 17,Mato Grosso do Sul,Centro-Oeste,8332.91,7000
Loja 18,Maranhão,Nordeste,8541.57,7200
Loja 19,Maranhão,Nordeste,6386.84,7200
Loja 20,Amazonas,Norte,7766.2,7500
Loja 21,Pará,Norte,8241.69,7500
Loja 22,Bahia,Nordeste,8602.11,7000
Loja 23,Roraima,Norte,9304.63,7800
Loja 24,Alagoas,Nordeste,6491.99,7800
Loja 25,Sergipe,Nordeste,9213.14,7800
Loja 26,Amapá,Norte,8620.93,8500
Loja 27,Ceará,Nordeste,7960.26,7200
Loja 28,São Paulo,Sudeste,8884.44,7500
Loja 29,Rio Grande do Norte,Nordeste,6859.0,7500
Loja 30,Paraná,Sul,8530.18,7800
Loja 31,Acre,Norte,8950.85,8500
Loja 32,Rio Grande do Sul,Sul,7606.45,7500
Loja 33,Alagoas,Nordeste,7902.46,8500
Loja 34,Ceará,Nordeste,9249.24,8000
Loja 35,Goiás,Centro-Oeste,8184.9,7800
Loja 36,Amazonas,Norte,9041.48,7000
Loja 37,Goiás,Centro-Oeste,8799.07,7800
Loja 38,Amazonas,Norte,6978.16,8500
Loja 39,Maranhão,Nordeste,8161.89,8500
Loja 40,Roraima,Norte,7295.36,8000
Loja 41,Tocantins,Norte,9695.93,7800
Loja 42,Espírito Santo,Sudeste,6878.73,8200
Loja 43,Bahia,Nordeste,7280.33,8500
Loja 44,Santa Catarina,Sul,6854.05,8000
Loja 45,Tocantins,Norte,7925.04,7200
Loja 46,Mato Grosso do Sul,Centro-Oeste,9117.68,7500
Loja 47,Bahia,Nordeste,6697.85,8200
Loja 48,Pará,Norte,9866.58,7800
Loja 49,Paraíba,Nordeste,7569.07,7800
Loja 50,Paraná,Sul,6662.66,7500
Loja 51,Rio Grande do Sul,Sul,6589.36,7500
Loja 52,Piauí,Nordeste,8236.13,7000
Loja 53,Paraná,Sul,9326.18,7000
Loja 54,Santa Catarina,Sul,6292.77,8200
Loja 55,Pernambuco,Nordeste,6170.84,7500
Loja 56,Minas Gerais,Sudeste,8804.79,8000
Loja 57,Pará,Norte,6910.15,7200
Loja 58,Minas Gerais,Sudeste,6320.98,7800
Loja 59,Rio Grande do Sul,Sul,9200.63,7000
Loja 60,Tocantins,Norte,7806.15,7200
Loja 61,Rio Grande do Sul,Sul,7012.67,8500
Loja 62,Pernambuco,Nordeste,6372.72,8500
Loja 63,Rio Grande do Norte,Nordeste,6866.83,8500
Loja 64,Paraná,Sul,7142.49,7500
Loja 65,Paraíba,Nordeste,8325.86,7500
Loja 66,Maranhão,Nordeste,7882.65,7500
Loja 67,Rondônia,Norte,6379.41,7200
Loja 68,Pernambuco,Nordeste,9504.01,7800
Loja 69,Goiás,Centro-Oeste,6680.4,8000
Loja 70,São Paulo,Sudeste,9259.0,7000
Loja 71,Pará,Norte,6428.29,8000
Loja 72,Rio Grande do Sul,Sul,9342.49,8200
Loja 73,Bahia,Nordeste,7332.46,7800
Loja 74,Mato Grosso do Sul,Centro-Oeste,8362.14,7000
Loja 75,Roraima,Norte,7415.11,7200
Loja 76,Maranhão,Nordeste,7696.06,8200
Loja 77,Maranhão,Nordeste,6183.75,7800
Loja 78,Mato Grosso,Centro-Oeste,6483.48,7500
