Loja,Estado,Região,Valor vendido,Meta de Vendas
Loja 1,Maranhão,Nordeste,8983.57,7000
Loja 2,Amazonas,Norte,9972.9,7500
Loja 3,São Paulo,Sudeste,7363.72,8500
Loja 4,Minas Gerais,Sudeste,8646.99,7000
Loja 5,Pernambuco,Nordeste,9994.12,8000
Loja 6,Bahia,Nordeste,8046.72,8200
Loja 7,Paraíba,Nordeste,8690.11,7200
Loja 8,Roraima,Norte,8939.48,7800
Loja 9,Santa Catarina,Sul,6469.23,7200
Loja 10,Sergipe,Nordeste,6981.27,7800
Loja 11,Sergipe,Nordeste,6523.89,7200
Loja 12,Pernambuco,Nordeste,9538.17,8000
Loja 13,Amapá,Norte,8993.11,8000
Loja 14,Rio Grande do Sul,Sul,7424.17,7200
Loja 15,Espírito Santo,Sudeste,6956.51,7200
Loja 16,Ceará,Nordeste,6601.14,7000
Loja 17,Pará,Norte,6772.07,8200
Loja 18,Mato Grosso,Centro-Oeste,7559.73,8000
Loja 19,Paraná,Sul,7411.91,7500
Loja 20,Minas Gerais,Sudeste,8707.21,8200
Loja 21,Paraíba,Nordeste,6034.47,8500
Loja 22,Mato Grosso do Sul,Centro-Oeste,7012.81,8000
Loja 23,Rondônia,Norte,9992.21,7800
Loja 24,Santa Catarina,Sul,6664.28,8500
Loja 25,Ceará,Nordeste,7404.65,7000
Loja 26,Mato Grosso,Centro-Oeste,9547.84,7800
Loja 27,Piauí,Nordeste,8056.45,8000
Loja 28,Espírito Santo,Sudeste,8588.77,8200
Loja 29,Maranhão,Nordeste,7801.99,7500
Loja 30,Amapá,Norte,8598.52,7500
Loja 31,Roraima,Norte,9674.28,8200
Loja 32,Alagoas,Nordeste,8039.64,7000
Loja 33,Amazonas,Norte,6682.21,7000
Loja 34,Maranhão,Nordeste,7892.53,7000
Loja 35,Pernambuco,Nordeste,6595.92,8000
Loja 36,Ceará,Nordeste,7598.09,8500
Loja 37,Piauí,Nordeste,8860.86,7500
Loja 38,Rio Grande do Sul,Sul,7207.14,8000
Loja 39,Piauí,Nordeste,6687.83,8000
Loja 40,Roraima,Norte,9580.03,8200
Loja 41,Rio Grande do Sul,Sul,6631.59,8200
Loja 42,Paraíba,Nordeste,9031.73,7000
Loja 43,Piauí,Nordeste,6184.05,7200
Loja 44,São Paulo,Sudeste,6425.44,7200
Loja 45,Amapá,Norte,9052.79,7000
Loja 46,Santa Catarina,Sul,9711.02,7500
Loja 47,Sergipe,Nordeste,8344.7,7800
Loja 48,Tocantins,Norte,6162.4,8000
Loja 49,Ceará,Nordeste,9887.55,8000
Loja 50,Santa Catarina,Sul,6286.49,8000
Loja 51,Rondônia,Norte,8798.1,8000
Loja 52,Pernambuco,Nordeste,9055.33,8000
Loja 53,Alagoas,Nordeste,7688.28,8200
Loja 54,Maranhão,Nordeste,9540.13,7800
Loja 55,Paraná,Sul,6000.51,8500
Loja 56,Espírito Santo,Sudeste,8052.0,7800
Loja 57,Maranhão,Nordeste,8736.03,7800
Loja 58,Bahia,Nordeste,7271.88,7500
Loja 59,Pará,Norte,7359.72,8200
Loja 60,Roraima,Norte,7585.4,7000
Loja 61,Paraíba,Nordeste,8032.14,8200
Loja 62,Amapá,Norte,7698.96,7800
Loja 63,Mato Grosso,Centro-Oeste,6456.94,7800
Loja 64,Bahia,Nordeste,7981.08,8000
Loja 65,Rio de Janeiro,Sudeste,6848.15,8500
Loja 66,Mato Grosso,Centro-Oeste,7982.11,7000
Loja 67,Paraná,Sul,7596.74,7200
Loja 68,Pernambuco,Nordeste,7300.78,8500
Loja 69,Mato Grosso,Centro-Oeste,6783.61,7500
Loja 70,Bahia,Nordeste,9458.05,7000
Loja 71,Rio Grande do Norte,Nordeste,9745.2,7800
Loja 72,Maranhão,Nordeste,9291.74,7500
Loja 73,Roraima,Norte,9126.37,8500
Loja 74,Alagoas,Nordeste,6850.03,7200
Loja 75,Minas Gerais,Sudeste,6647.15,8200
Loja 76,Santa Catarina,Sul,9004.5,7800
Loja 77,Amapá,Norte,6954.63,7200
Loja 78,Goiás,Centro-Oeste,8815.96,7000
Loja 79,Ceará,Nordeste,9272.99,8000
Loja 80,Roraima,Norte,7433.55,7000
Loja 81,Goiás,Centro-Oeste,9009.27,7000
Loja 82,Rio de Janeiro,Sudeste,6162.33,7200
Loja 83,Paraíba,Nordeste,8767.11,8200
Loja 84,Paraíba,Nordeste,8955.23,7000
Loja 85,Santa Catarina,Sul,9861.38,7000
Loja 86,Alagoas,Nordeste,7788.98,8200
Loja 87,Mato Grosso do Sul,Centro-Oeste,6957.8,8500
Loja 88,Mato Grosso,Centro-Oeste,8896.23,8000
Loja 89,Minas Gerais,Sudeste,6142.43,8000
Loja 90,Mato Grosso,Centro-Oeste,6725.89,8000
Loja 91,Amapá,Norte,9441.85,7800
Loja 92,Ceará,Nordeste,8941.0,8500
Loja 93,Rio Grande do Norte,Nordeste,9806.72,7800
Loja 94,Pará,Norte,8506.04,7800
Loja 95,Amazonas,Norte,6270.29,8000
Loja 96,Mato Grosso,Centro-Oeste,9693.89,7800
Loja 97,Pará,Norte,8665.07,7800
Loja 98,Amapá,Norte,8796.31,7800
Loja 99,Maranhão,Nordeste,8578.48,7800
Loja 100,Pernambuco,Nordeste,6334.56,8500
Loja 101,Bahia,Nordeste,7752.27,7000
Loja 102,Amapá,Norte,6439.58,8000
Loja 103,Acre,Norte,9202.08,7800
Loja 104,Acre,Norte,8875.68,7500
Loja 105,Ceará,Nordeste,6839.39,7200
Loja 106,Paraíba,Nordeste,6684.69,8000
Loja 107,Bahia,Nordeste,9286.99,8000
Loja 108,Goiás,Centro-Oeste,7027.62,7800
Loja 109,Paraíba,Nordeste,9261.47,7000
Loja 110,Pernambuco,Nordeste,8102.89,7500
Loja 111,Rondônia,Norte,9251.51,7000
Loja 112,Paraíba,Nordeste,8456.46,7200
Loja 113,Maranhão,Nordeste,7242.74,7200
Loja 114,Espírito Santo,Sudeste,9648.45,8000
Loja 115,Minas Gerais,Sudeste,6457.05,8000
Loja 116,Sergipe,Nordeste,8632.91,8000
Loja 117,Santa Catarina,Sul,8974.3,7200
Loja 118,Espírito Santo,Sudeste,6159.84,7000
Loja 119,Rio de Janeiro,Sudeste,9422.41,8500
Loja 120,Bahia,Nordeste,6422.67,7000
Loja 121,Rondônia,Norte,6637.39,8000
Loja 122,Espírito Santo,Sudeste,7566.31,7000
Loja 123,Ceará,Nordeste,8785.48,7800
Loja 124,São Paulo,Sudeste,8176.78,8200
Loja 125,Espírito Santo,Sudeste,6436.95,7500
Loja 126,Paraná,Sul,8313.6,7500
Loja 127,Maranhão,Nordeste,9837.32,7500
Loja 128,Amazonas,Norte,8060.45,8200
Loja 129,Rio de Janeiro,Sudeste,7503.98,8500
Loja 130,Rio de Janeiro,Sudeste,8025.13,7500
Loja 131,Paraíba,Nordeste,9132.66,7000
Loja 132,Amapá,Norte,8900.39,7500
Loja 133,Alagoas,Nordeste,6955.28,7500
Loja 134,Rio Grande do Norte,Nordeste,6591.04,8500
Loja 135,Amapá,Norte,9859.94,7500
Loja 136,Rondônia,Norte,6809.56,7000
Loja 137,Bahia,Nordeste,7047.27,7800
Loja 138,Bahia,Nordeste,9152.48,8500
Loja 139,Ceará,Nordeste,6544.78,7800
Loja 140,Minas Gerais,Sudeste,6967.65,7000
Loja 141,Amapá,Norte,9289.7,8000
Loja 142,Minas Gerais,Sudeste,7057.02,8500
Loja 143,Espírito Santo,Sudeste,9343.47,7000
Loja 144,Rio Grande do Norte,Nordeste,9518.25,7200
Loja 145,Maranhão,Nordeste,6793.71,8500
Loja 146,Minas Gerais,Sudeste,8983.8,7500
Loja 147,Rio Grande do Norte,Nordeste,6542.39,8500
Loja 148,Roraima,Norte,7033.8,8000
Loja 149,Ceará,Nordeste,9264.99,7000
Loja 150,Ceará,Nordeste,8186.24,7000
Loja 151,Mato Grosso,Centro-Oeste,8092.44,7500
Loja 152,Amazonas,Norte,9754.5,7800
Loja 153,Goiás,Centro-Oeste,8939.2,7000
Loja 154,Mato Grosso,Centro-Oeste,9112.98,7500
Loja 155,São Paulo,Sudeste,9301.57,8500
Loja 156,Espírito Santo,Sudeste,9074.04,8200
Loja 157,Amazonas,Norte,6955.2,7500
Loja 158,Rio Grande do Norte,Nordeste,7266.0,7200
Loja 159,Rondônia,Norte,7420.38,7800
Loja 160,Minas Gerais,Sudeste,6724.64,7000
Loja 161,Espírito Santo,Sudeste,8964.67,8000
Loja 162,Minas Gerais,Sudeste,6838.1,8200
Loja 163,Roraima,Norte,9945.87,8500
Loja 164,Maranhão,Nordeste,8703.6,7500
Loja 165,Pará,Norte,7704.19,7200
Loja 166,Rio de Janeiro,Sudeste,6382.05,7800
Loja 167,Roraima,Norte,8488.53,8500
Loja 168,Pará,Norte,9541.81,7800
Loja 169,Goiás,Centro-Oeste,8005.75,7500
Loja 170,Rio Grande do Sul,Sul,8504.95,8500
Loja 171,Mato Grosso,Centro-Oeste,7790.32,7000
Loja 172,Santa Catarina,Sul,6286.83,7500
Loja 173,Minas Gerais,Sudeste,9145.3,8000
Loja 174,Espírito Santo,Sudeste,9396.7,8200
Loja 175,Amapá,Norte,6725.33,7200
Loja 176,Amazonas,Norte,9198.92,7000
Loja 177,Paraíba,Nordeste,9045.11,7800
Loja 178,Alagoas,Nordeste,6524.04,7800
Loja 179,Pernambuco,Nordeste,9254.67,8000
Loja 180,Pará,Norte,7813.09,7500
Loja 181,Ceará,Nordeste,6598.74,8500
Loja 182,Mato Grosso do Sul,Centro-Oeste,7987.64,8500
Loja 183,Alagoas,Nordeste,6474.83,7500
Loja 184,Amapá,Norte,6844.4,7800
Loja 185,Piauí,Nordeste,9532.53,8500
Loja 186,Rio de Janeiro,Sudeste,8856.29,8500
Loja 187,Tocantins,Norte,9121.06,8200
Loja 188,São Paulo,Sudeste,9733.57,7800
Loja 189,Mato Grosso do Sul,Centro-Oeste,7301.0,7200
Loja 190,Rio de Janeiro,Sudeste,7038.53,7800
Loja 191,Maranhão,Nordeste,7566.57,8500
Loja 192,Pernambuco,Nordeste,9297.6,8000
Loja 193,Santa Catarina,Sul,7489.28,7500
Loja 194,Rio Grande do Norte,Nordeste,7347.02,7000
Loja 195,Rio Grande do Norte,Nordeste,6126.0,8000
Loja 196,Maranhão,Nordeste,7719.15,7000
Loja 197,Rio Grande do Sul,Sul,8614.03,8200
Loja 198,Pernambuco,Nordeste,6519.27,8200
Loja 199,Tocantins,Norte,8628.87,8500
Loja 200,Pernambuco,Nordeste,8129.75,8200
Loja 201,Santa Catarina,Sul,6567.14,8000
Loja 202,Maranhão,Nordeste,6192.33,7200
Loja 203,Alagoas,Nordeste,7536.22,7200
Loja 204,Amapá,Norte,8375.04,7500
Loja 205,Bahia,Nordeste,7727.96,7800
Loja 206,Roraima,Norte,6386.15,8200
Loja 207,Piauí,Nordeste,8938.49,8000
Loja 208,Ceará,Nordeste,8353.05,8200
Loja 209,Santa Catarina,Sul,6180.26,7000
Loja 210,Rondônia,Norte,7223.52,7500
Loja 211,Pará,Norte,7846.58,7000
Loja 212,Tocantins,Norte,6661.69,7800
Loja 213,Rio Grande do Norte,Nordeste,9021.05,7500
Loja 214,Bahia,Nordeste,9351.33,8000
Loja 215,Minas Gerais,Sudeste,7375.47,8500
Loja 216,Maranhão,Nordeste,8314.82,7200
Loja 217,Sergipe,Nordeste,8350.12,8200
Loja 218,Santa Catarina,Sul,9683.66,7800
Loja 219,Ceará,Nordeste,9279.42,7200
Loja 220,Amapá,Norte,8978.65,8000
Loja 221,Bahia,Nordeste,7092.66,8500
Loja 222,Espírito Santo,Sudeste,6947.48,7800
Loja 223,Goiás,Centro-Oeste,7782.62,7000
Loja 224,Paraíba,Nordeste,6837.57,7200
Loja 225,Rondônia,Norte,7806.83,8500
Loja 226,Rio Grande do Norte,Nordeste,9352.94,8200
Loja 227,Bahia,Nordeste,8548.5,8200
Loja 228,Mato Grosso,Centro-Oeste,7965.63,7500
Loja 229,Bahia,Nordeste,8400.05,8000
Loja 230,Pará,Norte,6706.23,7200
Loja 231,São Paulo,Sudeste,6659.95,7500
Loja 232,Piauí,Nordeste,6652.36,7500
Loja 233,Amapá,Norte,8376.97,7000
Loja 234,Amazonas,Norte,7626.79,7200
Loja 235,Paraíba,Nordeste,7041.03,7800
Loja 236,Maranhão,Nordeste,9832.87,8500
Loja 237,Rondônia,Norte,9193.36,8200
Loja 238,Alagoas,Nordeste,7345.82,8500
Loja 239,Paraná,Sul,9281.59,7000
Loja 240,Espírito Santo,Sudeste,8544.7,8200
Loja 241,Goiás,Centro-Oeste,7849.37,7000
Loja 242,São Paulo,Sudeste,6342.21,8000
Loja 243,Acre,Norte,9039.2,8500
Loja 244,Ceará,Nordeste,8186.95,7800
Loja 245,Goiás,Centro-Oeste,6113.37,8500
Loja 246,Amapá,Norte,6763.56,8500
Loja 247,Rio Grande do Norte,Nordeste,7510.2,8200
Loja 248,Rondônia,Norte,7127.73,8500
Loja 249,Mato Grosso,Centro-Oeste,7316.27,7800
Loja 250,Alagoas,Nordeste,7395.0,8500
Loja 251,Sergipe,Nordeste,9151.16,7800
Loja 252,Rio Grande do Norte,Nordeste,6326.9,7500
Loja 253,Bahia,Nordeste,8089.12,7800
Loja 254,Alagoas,Nordeste,8260.98,7800
Loja 255,Paraíba,Nordeste,8853.89,8200
Loja 256,Rio Grande do Sul,Sul,8405.17,8200
Loja 257,Espírito Santo,Sudeste,6347.67,7800
Loja 258,Minas Gerais,Sudeste,8233.15,8200
Loja 259,Pernambuco,Nordeste,7330.45,7500
Loja 260,Paraná,Sul,9770.87,8200
Loja 261,Goiás,Centro-Oeste,8638.58,7500
Loja 262,São Paulo,Sudeste,7667.93,7200
Loja 263,Amazonas,Norte,7344.66,7500
Loja 264,São Paulo,Sudeste,9154.47,7500
Loja 265,Espírito Santo,Sudeste,8528.73,8200
Loja 266,Rio de Janeiro,Sudeste,7390.58,8500
Loja 267,Amazonas,Norte,7705.11,7000
Loja 268,Rio Grande do Norte,Nordeste,9378.24,8500
Loja 269,Piauí,Nordeste,7220.97,8500
Loja 270,Rio Grande do Sul,Sul,7309.54,8500
Loja 271,Paraná,Sul,9844.33,7500
Loja 272,Minas Gerais,Sudeste,8494.7,8500
Loja 273,Ceará,Nordeste,7400.47,8500
Loja 274,Goiás,Centro-Oeste,9690.97,7200
Loja 275,Mato Grosso,Centro-Oeste,7494.81,8500
Loja 276,Alagoas,Nordeste,8053.36,8200
Loja 277,Rio Grande do Sul,Sul,6313.57,7200
Loja 278,Acre,Norte,9933.53,8200
Loja 279,Maranhão,Nordeste,7872.66,8200
Loja 280,Paraíba,Nordeste,6917.53,7200
Loja 281,Acre,Norte,7588.19,7000
Loja 282,Maranhão,Nordeste,8591.71,7000
Loja 283,Paraná,Sul,6409.3,7800
Loja 284,Amapá,Norte,9374.58,7000
Loja 285,Ceará,Nordeste,7643.0,7800
Loja 286,Piauí,Nordeste,7078.99,8000
Loja 287,Rondônia,Norte,6938.59,7800
Loja 288,Rondônia,Norte,7377.27,8000
Loja 289,Tocantins,Norte,9050.82,7800
Loja 290,Tocantins,Norte,6665.98,7500
Loja 291,Pernambuco,Nordeste,8380.24,8200
Loja 292,Rondônia,Norte,7139.59,7800
Loja 293,Mato Grosso,Centro-Oeste,7382.8,8000
Loja 294,Paraíba,Nordeste,7441.11,7000
Loja 295,Goiás,Centro-Oeste,9466.54,7500
Loja 296,Tocantins,Norte,8893.14,8500
Loja 297,Piauí,Nordeste,7919.33,7200
Loja 298,Amapá,Norte,9063.24,8200
Loja 299,Minas Gerais,Sudeste,9522.56,7500
Loja 300,Paraíba,Nordeste,6484.74,8200
Loja 301,Ceará,Nordeste,9144.99,7500
Loja 302,Minas Gerais,Sudeste,6077.07,8200
Loja 303,Goiás,Centro-Oeste,6755.83,7800
Loja 304,Amazonas,Norte,8583.43,7000
Loja 305,Goiás,Centro-Oeste,7903.78,7500
Loja 306,Sergipe,Nordeste,6982.76,7000
Loja 307,Amazonas,Norte,7808.69,7000
Loja 308,Espírito Santo,Sudeste,7713.74,7000
Loja 309,Rio Grande do Sul,Sul,7666.58,8000
Loja 310,Ceará,Nordeste,8672.85,7200
Loja 311,Pará,Norte,9699.14,8200
Loja 312,Santa Catarina,Sul,7626.34,8200
Loja 313,Rio Grande do Sul,Sul,8408.21,7800
Loja 314,Bahia,Nordeste,7422.14,8000
Loja 315,Mato Grosso,Centro-Oeste,7412.36,7500
Loja 316,Mato Grosso do Sul,Centro-Oeste,8545.82,8500
Loja 317,Paraíba,Nordeste,7948.27,7200
Loja 318,Goiás,Centro-Oeste,7612.56,7500
Loja 319,Rio Grande do Norte,Nordeste,8161.64,7500
Loja 320,Tocantins,Norte,7522.12,7000
Loja 321,Pernambuco,Nordeste,6923.39,8200
Loja 322,Mato Grosso do Sul,Centro-Oeste,9726.35,7200
Loja 323,Acre,Norte,9878.06,8000
Loja 324,Tocantins,Norte,9889.31,8200
Loja 325,Paraíba,Nordeste,6755.28,8000
Loja 326,Amazonas,Norte,6414.16,8500
Loja 327,Espírito Santo,Sudeste,8985.73,7500
Loja 328,Alagoas,Nordeste,9371.75,7000
Loja 329,Rio Grande do Norte,Nordeste,6866.37,7200
Loja 330,Sergipe,Nordeste,7289.34,8500
Loja 331,Minas Gerais,Sudeste,6861.68,8000
Loja 332,Ceará,Nordeste,7678.28,8000
Loja 333,Alagoas,Nordeste,6037.49,8500
Loja 334,Piauí,Nordeste,7788.11,8000
Loja 335,Amapá,Norte,8975.6,7800
Loja 336,Bahia,Nordeste,7710.13,8200
Loja 337,Pará,Norte,9652.44,8500
Loja 338,Rio Grande do Sul,Sul,9790.93,7500
Loja 339,Goiás,Centro-Oeste,7541.87,7800
Loja 340,São Paulo,Sudeste,7084.93,7200
Loja 341,Alagoas,Nordeste,9802.37,8200
Loja 342,Pará,Norte,6103.45,8200
Loja 343,Maranhão,Nordeste,9890.26,8500
Loja 344,Minas Gerais,Sudeste,8836.23,7000
Loja 345,Pará,Norte,6114.28,8500
Loja 346,Rio Grande do Norte,Nordeste,7169.16,8000
Loja 347,Roraima,Norte,6945.43,8000
Loja 348,São Paulo,Sudeste,7285.02,8000
Loja 349,Rio Grande do Norte,Nordeste,7567.88,8200
Loja 350,Mato Grosso do Sul,Centro-Oeste,7488.58,8000
Loja 351,Acre,Norte,6441.88,7200
Loja 352,Acre,Norte,8878.73,7200
Loja 353,São Paulo,Sudeste,9781.11,7000
Loja 354,Paraíba,Nordeste,7647.44,8500
Loja 355,Rio de Janeiro,Sudeste,7098.78,7200
Loja 356,Tocantins,Norte,9082.88,7200
Loja 357,Sergipe,Nordeste,7447.09,8200
Loja 358,Paraná,Sul,6718.66,8500
Loja 359,Mato Grosso,Centro-Oeste,9716.83,8200
Loja 360,Goiás,Centro-Oeste,8267.66,8500
Loja 361,Minas Gerais,Sudeste,8446.83,7200
Loja 362,Amapá,Norte,7559.54,7000
Loja 363,Tocantins,Norte,8707.49,7200
Loja 364,Piauí,Nordeste,8047.05,7000
Loja 365,Tocantins,Norte,9559.61,7200
Loja 366,Amazonas,Norte,9303.3,7000
Loja 367,Rio Grande do Sul,Sul,7292.76,8000
Loja 368,Rio Grande do Sul,Sul,6572.35,7500
Loja 369,Pará,Norte,9014.73,8200
Loja 370,Rio Grande do Norte,Nordeste,8072.22,8200
Loja 371,Ceará,Nordeste,8172.34,7000
Loja 372,São Paulo,Sudeste,6048.13,8500
Loja 373,Amapá,Norte,8194.45,8000
Loja 374,Tocantins,Norte,8576.16,8200
Loja 375,Acre,Norte,8901.77,8000
Loja 376,Mato Grosso do Sul,Centro-Oeste,6159.21,7800
Loja 377,Pará,Norte,6085.24,8000
Loja 378,Amazonas,Norte,8115.94,8500
Loja 379,Mato Grosso do Sul,Centro-Oeste,8193.27,8000
Loja 380,Acre,Norte,9523.99,8000
Loja 381,Minas Gerais,Sudeste,9998.45,7500
Loja 382,Piauí,Nordeste,8210.32,7200
Loja 383,Piauí,Nordeste,6734.8,7200
Loja 384,Mato Grosso,Centro-Oeste,9980.35,8500
Loja 385,Piauí,Nordeste,7714.08,8200
Loja 386,Espírito Santo,Sudeste,6885.26,7800
Loja 387,Santa Catarina,Sul,9115.31,8200
Loja 388,Roraima,Norte,6654.45,8200
Loja 389,Ceará,Nordeste,9500.82,7500
