Loja,Estado,Região,Meta de Vendas 
Loja 1,Maranhão,Nordeste,7000
Loja 2,Amazonas,Norte,7500
Loja 3,São Paulo,Sudeste,8500
Loja 4,Minas Gerais,Sudeste,7000
Loja 5,Pernambuco,Nordeste,8000
Loja 6,Bahia,Nordeste,8200
Loja 7,Paraíba,Nordeste,7200
Loja 8,Roraima,Norte,7800
Loja 9,Santa Catarina,Sul,7200
Loja 10,Sergipe,Nordeste,7800
Loja 11,Sergipe,Nordeste,7200
Loja 12,Pernambuco,Nordeste,8000
Loja 13,Amapá,Norte,8000
Loja 14,Rio Grande do Sul,Sul,7200
Loja 15,Espírito Santo,Sudeste,7200
Loja 16,Ceará,Nordeste,7000
Loja 17,Pará,Norte,8200
Loja 18,Mato Grosso,Centro-Oeste,8000
Loja 19,Paraná,Sul,7500
Loja 20,Minas Gerais,Sudeste,8200
Loja 21,Paraíba,Nordeste,8500
Loja 22,Mato Grosso do Sul,Centro-Oeste,8000
Loja 23,Rondônia,Norte,7800
Loja 24,Santa Catarina,Sul,8500
Loja 25,Ceará,Nordeste,7000
Loja 26,Mato Grosso,Centro-Oeste,7800
Loja 27,Piauí,Nordeste,8000
Loja 28,Espírito Santo,Sudeste,8200
Loja 29,Maranhão,Nordeste,7500
Loja 30,Amapá,Norte,7500
Loja 31,Roraima,Norte,8200
Loja 32,Alagoas,Nordeste,7000
Loja 33,Amazonas,Norte,7000
Loja 34,Maranhão,Nordeste,7000
Loja 35,Pernambuco,Nordeste,8000
Loja 36,Ceará,Nordeste,8500
Loja 37,Piauí,Nordeste,7500
Loja 38,Rio Grande do Sul,Sul,8000
Loja 39,Piauí,Nordeste,8000
Loja 40,Roraima,Norte,8200
Loja 41,Rio Grande do Sul,Sul,8200
Loja 42,Paraíba,Nordeste,7000
Loja 43,Piauí,Nordeste,7200
Loja 44,São Paulo,Sudeste,7200
Loja 45,Amapá,Norte,7000
Loja 46,Santa Catarina,Sul,7500
Loja 47,Sergipe,Nordeste,7800
Loja 48,Tocantins,Norte,8000
Loja 49,Ceará,Nordeste,8000
Loja 50,Santa Catarina,Sul,8000
Loja 51,Rondônia,Norte,8000
Loja 52,Pernambuco,Nordeste,8000
Loja 53,Alagoas,Nordeste,8200
Loja 54,Maranhão,Nordeste,7800
Loja 55,Paraná,Sul,8500
Loja 56,Espírito Santo,Sudeste,7800
Loja 57,Maranhão,Nordeste,7800
Loja 58,Bahia,Nordeste,7500
Loja 59,Pará,Norte,8200
Loja 60,Roraima,Norte,7000
Loja 61,Paraíba,Nordeste,8200
Loja 62,Amapá,Norte,7800
Loja 63,Mato Grosso,Centro-Oeste,7800
Loja 64,Bahia,Nordeste,8000
Loja 65,Rio de Janeiro,Sudeste,8500
Loja 66,Mato Grosso,Centro-Oeste,7000
Loja 67,Paraná,Sul,7200
Loja 68,Pernambuco,Nordeste,8500
Loja 69,Mato Grosso,Centro-Oeste,7500
Loja 70,Bahia,Nordeste,7000
Loja 71,Rio Grande do Norte,Nordeste,7800
Loja 72,Maranhão,Nordeste,7500
Loja 73,Roraima,Norte,8500
Loja 74,Alagoas,Nordeste,7200
Loja 75,Minas Gerais,Sudeste,8200
Loja 76,Santa Catarina,Sul,7800
Loja 77,Amapá,Norte,7200
Loja 78,Goiás,Centro-Oeste,7000
Loja 79,Ceará,Nordeste,8000
Loja 80,Roraima,Norte,7000
Loja 81,Goiás,Centro-Oeste,7000
Loja 82,Rio de Janeiro,Sudeste,7200
Loja 83,Paraíba,Nordeste,8200
Loja 84,Paraíba,Nordeste,7000
Loja 85,Santa Catarina,Sul,7000
Loja 86,Alagoas,Nordeste,8200
Loja 87,Mato Grosso do Sul,Centro-Oeste,8500
Loja 88,Mato Grosso,Centro-Oeste,8000
Loja 89,Minas Gerais,Sudeste,8000
Loja 90,Mato Grosso,Centro-Oeste,8000
Loja 91,Amapá,Norte,7800
Loja 92,Ceará,Nordeste,8500
Loja 93,Rio Grande do Norte,Nordeste,7800
Loja 94,Pará,Norte,7800
Loja 95,Amazonas,Norte,8000
Loja 96,Mato Grosso,Centro-Oeste,7800
Loja 97,Pará,Norte,7800
Loja 98,Amapá,Norte,7800
Loja 99,Maranhão,Nordeste,7800
Loja 100,Pernambuco,Nordeste,8500
Loja 101,Bahia,Nordeste,7000
Loja 102,Amapá,Norte,8000
Loja 103,Acre,Norte,7800
Loja 104,Acre,Norte,7500
Loja 105,Ceará,Nordeste,7200
Loja 106,Paraíba,Nordeste,8000
Loja 107,Bahia,Nordeste,8000
Loja 108,Goiás,Centro-Oeste,7800
Loja 109,Paraíba,Nordeste,7000
Loja 110,Pernambuco,Nordeste,7500
Loja 111,Rondônia,Norte,7000
Loja 112,Paraíba,Nordeste,7200
Loja 113,Maranhão,Nordeste,7200
Loja 114,Espírito Santo,Sudeste,8000
Loja 115,Minas Gerais,Sudeste,8000
Loja 116,Sergipe,Nordeste,8000
Loja 117,Santa Catarina,Sul,7200
Loja 118,Espírito Santo,Sudeste,7000
Loja 119,Rio de Janeiro,Sudeste,8500
Loja 120,Bahia,Nordeste,7000
Loja 121,Rondônia,Norte,8000
Loja 122,Espírito Santo,Sudeste,7000
Loja 123,Ceará,Nordeste,7800
Loja 124,São Paulo,Sudeste,8200
Loja 125,Espírito Santo,Sudeste,7500
Loja 126,Paraná,Sul,7500
Loja 127,Maranhão,Nordeste,7500
Loja 128,Amazonas,Norte,8200
Loja 129,Rio de Janeiro,Sudeste,8500
Loja 130,Rio de Janeiro,Sudeste,7500
Loja 131,Paraíba,Nordeste,7000
Loja 132,Amapá,Norte,7500
Loja 133,Alagoas,Nordeste,7500
Loja 134,Rio Grande do Norte,Nordeste,8500
Loja 135,Amapá,Norte,7500
Loja 136,Rondônia,Norte,7000
Loja 137,Bahia,Nordeste,7800
Loja 138,Bahia,Nordeste,8500
Loja 139,Ceará,Nordeste,7800
Loja 140,Minas Gerais,Sudeste,7000
Loja 141,Amapá,Norte,8000
Loja 142,Minas Gerais,Sudeste,8500
Loja 143,Espírito Santo,Sudeste,7000
Loja 144,Rio Grande do Norte,Nordeste,7200
Loja 145,Maranhão,Nordeste,8500
Loja 146,Minas Gerais,Sudeste,7500
Loja 147,Rio Grande do Norte,Nordeste,8500
Loja 148,Roraima,Norte,8000
Loja 149,Ceará,Nordeste,7000
Loja 150,Ceará,Nordeste,7000
Loja 151,Mato Grosso,Centro-Oeste,7500
Loja 152,Amazonas,Norte,7800
Loja 153,Goiás,Centro-Oeste,7000
Loja 154,Mato Grosso,Centro-Oeste,7500
Loja 155,São Paulo,Sudeste,8500
Loja 156,Espírito Santo,Sudeste,8200
Loja 157,Amazonas,Norte,7500
Loja 158,Rio Grande do Norte,Nordeste,7200
Loja 159,Rondônia,Norte,7800
Loja 160,Minas Gerais,Sudeste,7000
Loja 161,Espírito Santo,Sudeste,8000
Loja 162,Minas Gerais,Sudeste,8200
Loja 163,Roraima,Norte,8500
Loja 164,Maranhão,Nordeste,7500
Loja 165,Pará,Norte,7200
Loja 166,Rio de Janeiro,Sudeste,7800
Loja 167,Roraima,Norte,8500
Loja 168,Pará,Norte,7800
Loja 169,Goiás,Centro-Oeste,7500
Loja 170,Rio Grande do Sul,Sul,8500
Loja 171,Mato Grosso,Centro-Oeste,7000
Loja 172,Santa Catarina,Sul,7500
Loja 173,Minas Gerais,Sudeste,8000
Loja 174,Espírito Santo,Sudeste,8200
Loja 175,Amapá,Norte,7200
Loja 176,Amazonas,Norte,7000
Loja 177,Paraíba,Nordeste,7800
Loja 178,Alagoas,Nordeste,7800
Loja 179,Pernambuco,Nordeste,8000
Loja 180,Pará,Norte,7500
Loja 181,Ceará,Nordeste,8500
Loja 182,Mato Grosso do Sul,Centro-Oeste,8500
Loja 183,Alagoas,Nordeste,7500
